Id,Project Name,Github URLs,SHA
1,apache.creadur-rat,https://github.com/apache/creadur-rat.git,3e49be6a20d495c08147178d1cf1ee2bd448c1ca
2,jbossas.jboss-dmr,https://github.com/jbossas/jboss-dmr.git,752896741b40a148df1e0748f9ae28d63f60858c
3,apache.avro,https://github.com/apache/avro.git,408099a9f82c542caf397b96f4279a827774a1cb
4,fasseg.exp4j,https://github.com/fasseg/exp4j.git,2c7795f0ee55e1eae58784a09453018aaa316e2f
5,apache.hive,https://github.com/apache/hive.git,8f4f3b90fa5987e82025ecf81f8084c90130fd6b
6,geosolutions-it.geoserver-manager,https://github.com/geosolutions-it/geoserver-manager.git,a4268dda604fd34f331466845ebde3a989407bc4
7,ptgoetz.storm-jms,https://github.com/ptgoetz/storm-jms.git,d152d72f3726f3ff40ba74dee0392f8764b43fd0
8,lusis.zmq-appender,https://github.com/lusis/zmq-appender.git,d4ac192bf6ef677ad2b32eec9e81921ec51b08c9
9,ekuefler.gwt-supereventbus,https://github.com/ekuefler/gwt-supereventbus.git,dad3ab7524b6c90e2db4c31a954b087bea961697
10,LogBlock.LogBlock-2,https://github.com/LogBlock/LogBlock-2.git,40548aad551c3ec59a72433937afeaa40a052cb4
11,brutall.brut.apktool.smali,https://github.com/brutall/brut.apktool.smali.git,d58ae3f347e46531960e209a7c5a7f002c7bee6c
12,apache.gora,https://github.com/apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de
13,threerings.playn,https://github.com/threerings/playn.git,a3fdd69861ac136fdf177f08720f2aef071943c5
14,raml-org.raml-java-parser,https://github.com/raml-org/raml-java-parser.git,fd70fa27094a7be65d4a994555a6cedeba7dd79e
15,apache.juneau,https://github.com/apache/juneau.git,4651875093fc0b279a73364c5dbb6e1cf4246db1
16,EsotericSoftware.yamlbeans,https://github.com/EsotericSoftware/yamlbeans.git,2ccfbd9d57d21e821fcfa118c5ac197d5faab8df
17,connector4java,https://github.com/osiam/connector4java.git,e90425192ca7b77c24f3568ec06a8ac824c83d81
18,mqtt,https://github.com/eclipse/paho.mqtt.java.git,9c742c1d83e71132452e08d325e5a90d1631c302
19,logstash-logback-encoder,https://github.com/logstash/logstash-logback-encoder.git,b1e7653914fba93baf6042b15d44e54909879e4f
20,zookeeper-utils,https://github.com/Cue/greplin-zookeeper-utils.git,a2b80474d1cd2e45ebbdc95dbb384bec03c21d96
21,vidageek.crawler,https://github.com/vidageek/crawler.git,120883b672384225f7ad9fbf0b9126706a7c8f40
22,sonatype.sisu-guice,https://github.com/sonatype/sisu-guice.git,f39cddad4376d14b6ef74851ef6c1d60871d6102
23,wkennedy.swagger4spring-web,https://github.com/wkennedy/swagger4spring-web.git,b2bdeb3cd2ff245b7cca9aca790c726d103d35ff
24,jnr.jnr-posix,https://github.com/jnr/jnr-posix.git,b2cc7b52a82b266c12db6f472ceb4c2360cda134
