project_norm,path,object,status,count_siesta,count_javamop,diff_abs,reason,occurrence_idx
albintheandermeqantt,org/meqantt/message/message.java:154,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,both_projects_different_multiset,1
apacheavro,github/luben/zstd/util/native.java,closeablemultipleclose,truebug,1,0,1,project_only_in_siesta,1
apacheavro,org/apache/avro/io/testbinaryencoderfidelity.java,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,project_only_in_siesta,1
apacheavro,org/apache/avro/testdatafilereflect.java,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
apacheavro,org/apache/trevni/bzip2codec.java,bytearrayoutputstreamflushbeforeretrieve,truebug,2,0,2,project_only_in_siesta,1
apacheavro,org/apache/trevni/bzip2codec.java,bytearrayoutputstreamflushbeforeretrieve,truebug,2,0,2,project_only_in_siesta,2
apacheavro,org/xerial/snappy/snappy.java,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
apacheavro,snappy/snappyloader.java,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
apacheavro,org/apache/avro/file/xzcodec.java,bytearrayoutputstreamflushbeforeretrieve,truebug,1,0,1,project_only_in_siesta,1
apacheavro,org/apache/avro/testschema.java,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
apacheavro,apache/avro/schema.java,serializablenoargconstructor,truebug,1,0,1,project_only_in_siesta,1
apacheavro,org/apache/avro/file/deflatecodec.java,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
apacheavro,org/apache/avro/file/xzcodec.java,closeablemultipleclose,falsealarm,2,0,2,project_only_in_siesta,1
apacheavro,org/apache/avro/file/xzcodec.java,closeablemultipleclose,falsealarm,2,0,2,project_only_in_siesta,2
apacheavro,org/apache/avro/reflect/testbytebuffer.java,closeablemultipleclose,falsealarm,1,0,1,project_only_in_siesta,1
apacheavro,org/apache/avro/io/testblockingio.java,bytearrayoutputstreamflushbeforeretrieve,falsealarm,1,0,1,project_only_in_siesta,1
apachecreadurrat,net/bytebuddy/description/type/typelist.java:78,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/commons/lang3/stringutils.java:557,charactervalidatechar,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/mp/rattesthelpers.java,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/utils/reportingset.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/tools/ant/taskdefs/pathconvert.java:67,closeablemeaninglessclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/defaults.java:106,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,net/bytebuddy/description/bytecodeelement.java:134,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/analysis/license/abstractlicensetest.java,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/config/reportformattest.java:38,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
apachecreadurrat,net/bytebuddy/description/enumeration/enumerationdescription.java:127,enumuserfriendlyname,truebug,1,0,1,both_projects_different_multiset,1
apachecreadurrat,net/bytebuddy/description/method/parameterlist.java:134,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/mp/util/ignore/globignorematcher.java,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/defaults.java:174,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,com/google/common/collect/lists.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/eclipse/sisu/space/spacescanner.java,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,commons-io/commons-io/2.15.1/commons-io-2.15.1-sources.jar,closeablemultipleclose,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/license/licensefamilysetfactory.java:137,treesetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/reportconfiguration.java:394,sortedsetcomparable,falsealarm,0,1,1,both_projects_different_multiset,1
apachecreadurrat,com/google/common/collect/linkedhashmultimap.java,collectionstandardconstructors,falsealarm,1,0,1,both_projects_different_multiset,1
apachecreadurrat,com/google/common/collect/sets.java,collectionstandardconstructors,truebug,1,0,1,both_projects_different_multiset,1
apachecreadurrat,org/apache/rat/document/impl/guesser/binaryguessertest.java:95,readermanipulateafterclose,truebug,1,0,1,both_projects_different_multiset,1
