Specification,Package,Status,Link
Appendable_ThreadSafe.mop,Lang,Not Implemented,
Boolean_StaticFactory.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Boolean_StaticFactoryHandler.java
Byte_BadDecodeArg.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Byte_BadDecodeArgHandler.java
Byte_BadParsingArgs.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Byte_BadParsingArgsHandler.java
Byte_StaticFactory.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Byte_StaticFactoryHandler.java
CharSequence_NotInMap.mop,Lang,Not Implemented,
CharSequence_NotInSet.mop,Lang,Not Implemented,
CharSequence_UndefinedHashCode.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/CharSequence_UndefinedHashCodeHandler.java
Character_StaticFactory.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Character_StaticFactoryHandler.java
Character_ValidateChar.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Character_ValidateCharHandler.java
ClassLoader_UnsafeClassDefinition.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/ClassLoader_UnsafeClassDefinitionHandler.java
Comparable_CompareToNull.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Comparable_CompareToNullHandler.java
Comparable_CompareToNullException.mop,Lang,Not Implemented,
Double_StaticFactory.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Double_StaticFactoryHandler.java
Enum_NoExtraWhiteSpace.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Enum_NoExtraWhiteSpaceHandler.java
Enum_NoOrdinal.mop,Lang,Defected,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Enum_NoOrdinalHandler.java
Enum_UserFriendlyName.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Enum_UserFriendlyNameHandler.java
Float_StaticFactory.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Float_StaticFactoryHandler.java
Integer_BadDecodeArg.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Integer_BadDecodeArgHandler.java
Integer_StaticFactory.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Integer_StaticFactoryHandler.java
Long_BadDecodeArg.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Long_BadDecodeArgHandler.java
Long_BadParsingArgs.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Long_BadParsingArgsHandler.java
Long_StaticFactory.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Long_StaticFactoryHandler.java
Math_ContendedRandom.mop,Lang,Not Implemented,
Object_MonitorOwner.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Object_MonitorOwnerHandler.java
Object_NoClone.mop,Lang,Not Implemented,
ProcessBuilder_NullKeyOrValue.mop,Lang,Not Implemented,
ProcessBuilder_ThreadSafe.mop,Lang,Not Implemented,
Runnable_OverrideRun.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Runnable_OverrideRunHandler.java
RuntimePermission_NullAction.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/RuntimePermission_NullActionHandler.java
RuntimePermission_PermName.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/RuntimePermission_PermNameHandler.java
SecurityManager_Permission.mop,Lang,Not Implemented,
Short_BadDecodeArg.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Short_BadDecodeArgHandler.java
Short_BadParsingArgs.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Short_BadParsingArgsHandler.java
Short_StaticFactory.mop,Lang,Implemented,https://github.com/specificationeffectiveness/JSS/blob/main/property-db-siesta/java-api/lang/Short_StaticFactoryHandler.java
ShutdownHook_LateRegister.mop,Lang,Not Implemented,
ShutdownHook_PrematureStart.mop,Lang,Not Implemented,
