PID,Projects,JavaMOP_TB,JavaMOP_FA,SIESTA_TB,SIESTA_FA
1,joda-time,48,31,54,9
2,apache.avro,0,0,6,9
3,gae-java-mini-profiler,1,0,1,0
4,oauth2.0providerforjava,1,2,3,2
5,lucene-interval-fields,11,1,12,4
6,recrack.kornakapi,1,0,0,2
7,connector4java,0,2,4,13
8,apache.gora,0,2,2,1
9,com.greplin.zookeeper,0,5,10,7
10,cassandracompositetype,1,0,1,0
11,codahale.og,0,8,1,18
12,sitespeedio.crawler,0,0,1,11
13,jbossas.jboss-dmr,0,6,4,22
14,apache.creadur-rat,7,22,16,30
15,jnr.jnr-posix,0,4,1,1
16,albintheander.meqantt,0,1,1,1
17,jsondiff,0,5,1,1
18,asterisk-java,0,0,5,10
19,code4craft.jsoup-learning,0,0,7,3
20,pignlproc,1,2,7,2
Total,,71,91,137,146
