PID,Projects,JavaMOP_TB,JavaMOP_FA,SIESTA_TB,SIESTA_FA
1,joda-time,48,31,54,9
2,apache.avro,0,0,6,9
3,oauth2.0providerforjava,1,2,3,2
4,lucene-interval-fields,11,1,12,4
5,recrack.kornakapi,1,0,0,2
6,connector4java,0,2,4,8
7,apache.gora,0,2,2,1
8,com.greplin.zookeeper,0,5,10,6
9,codahale.og,0,8,0,12
10,sitespeedio.crawler,0,0,1,11
11,jbossas.jboss-dmr,0,6,4,22
12,apache.creadur-rat,7,22,11,40
13,jnr.jnr-posix,0,4,1,1
14,albintheander.meqantt,0,1,1,1
15,jsondiff,0,5,1,1
16,asterisk-java,0,0,5,10
17,pignlproc,1,2,13,4
18,jsoup-learning,0,0,7,3
19,edanuff.CassandraCompositeType,1,0,1,0
20,jriecken.gae-java-mini-profiler,1,0,1,0
Total,,71,91,137,146
