Project,Shapiro-Wilk,Media,Mediana,Desvio Padrão,Approach
CassandraCompositeType,0.1602,1.9697,1.9765,0.41,Base
CassandraCompositeType,0.2575,561.1985,545.6715,67.97,Javamop
CassandraCompositeType,0.0312,282.1505,268.459,25.437,Siesta
Gora,0.4124,1.4256,1.488,0.316,Base
Gora,0.2847,685.9289,677.7685,68.484,Javamop
Gora,0.5506,50.1503,55.985,25.356,Siesta
Joda-time,0.0256,6.0331,5.254,2.346,Base
Joda-time,0.0035,16.71,15.7855,3.728,Javamop
Joda-time,0.0,18.649,18.0495,1.832,Siesta
MeQanTT,0.3463,20.4815,22.022,4.804,Base
MeQanTT,0.4463,28.9152,29.425,2.382,Javamop
MeQanTT,0.005,48.3508,50.803,3.97,Siesta
OAutho2.0ProviderForJava,0.3859,1.5282,1.5425,0.423,Base
OAutho2.0ProviderForJava,0.0786,12.8172,13.019,0.971,Javamop
OAutho2.0ProviderForJava,0.1064,5.5831,5.3235,0.666,Siesta
asterisk,0.1101,36.4689,35.642,2.829,Base
asterisk,0.0362,97.901,100.2345,6.426,Javamop
asterisk,0.5752,54.6508,54.15,4.896,Siesta
avro,0.2639,296.1747,300.029,16.465,Base
avro,0.0007,2574.8037,2527.507,114.145,Javamop
avro,0.9719,939.6551,948.572,83.866,Siesta
codahale.og,0.0002,4.0015,3.5855,2.077,Base
codahale.og,0.7813,72.4087,71.711,8.946,Javamop
codahale.og,0.172,10.0834,10.3725,0.939,Siesta
connector4java,0.0001,7.2423,6.105,2.624,Base
connector4java,0.847,94.4578,94.872,3.128,Javamop
connector4java,0.847,74.4578,74.872,3.128,Siesta
crawler,0.9704,9.41,9.4785,0.55,Base
crawler,0.3076,25.5133,25.111,2.696,Javamop
crawler,0.3935,11.5618,11.5485,0.556,Siesta
creadur-rat,0.0073,45.3666,45.692,3.464,Base
creadur-rat,0.0422,80.6927,79.746,6.187,Javamop
creadur-rat,0.0342,76.1866,77.306,2.958,Siesta
gae-java-mini-profiler,0.0658,2.3798,2.488,0.475,Base
gae-java-mini-profiler,0.3606,10.4716,10.3495,0.623,Javamop
gae-java-mini-profiler,0.0225,50.4098,45.566,8.504,Siesta
greplin-zookeeper-utils,0.8671,26.5694,26.472,1.21,Base
greplin-zookeeper-utils,0.3392,73.9135,73.727,1.286,Javamop
greplin-zookeeper-utils,0.5609,49.1905,48.756,3.867,Siesta
jboss-dmr,0.0132,48.2027,46.5825,6.907,Base
jboss-dmr,0.0001,167.779,166.2595,3.56,Javamop
jboss-dmr,0.4109,146.1587,145.5685,7.279,Siesta
jnr-posix,0.1691,22.4109,22.824,3.131,Base
jnr-posix,0.2636,600.5209,583.1915,136.473,Javamop
jnr-posix,0.0143,149.6326,140.9155,21.719,Siesta
jsondiff,0.048,4.8414,5.0495,0.825,Base
jsondiff,0.2836,27.6001,27.6965,1.616,Javamop
jsondiff,0.2699,10.4157,10.716,0.746,Siesta
jsoup-learning,0.1169,2.6428,2.428,0.831,Base
jsoup-learning,0.9446,23.8978,23.891,0.579,Javamop
jsoup-learning,0.0002,52.9725,55.06,7.921,Siesta
kornakapi,0.0024,8.926,8.647,1.907,Base
kornakapi,0.2823,30.179,30.272,1.083,Javamop
kornakapi,0.0128,17.8285,17.885,2.917,Siesta
lucene-interval-fields,0.2009,2.4806,2.3,0.897,Base
lucene-interval-fields,0.1758,16.5189,16.577,1.588,Javamop
lucene-interval-fields,0.2179,7.2218,6.9345,1.976,Siesta
pignlproc,0.0059,71.5715,69.8395,3.461,Base
pignlproc,0.0319,137.7149,136.008,17.644,Javamop
pignlproc,0.9665,83.1582,82.6815,4.163,Siesta
