Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
MeQanTT,org.meqantt.RegressionTest,17841,0,0,0,11.25,SUCCESS
MeQanTT,org.meqantt.message.PingRespMessageTest,1,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.ConnectMessageTest,9,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.PublishMessageTest,2,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.SubAckMessageTest,2,0,0,0,0.0,SUCCESS
MeQanTT,org.meqantt.message.ScratchTests,1,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.SubscribeMessageTest,1,0,0,0,0.0,SUCCESS
MeQanTT,org.meqantt.message.PingReqMessageTest,4,0,0,0,0.0,SUCCESS
MeQanTT,org.meqantt.message.ConnAckMessageTest,6,0,0,0,0.0,SUCCESS
MeQanTT,org.meqantt.message.UnsubscribeMessageTest,1,0,0,0,0.0,SUCCESS
MeQanTT,org.meqantt.message.MessageTest,5,0,0,0,0.0,SUCCESS
MeQanTT,org.meqantt.message.DisconnectMessageTest,4,0,0,0,0.0,SUCCESS
Sum: 11.253999999999998
--------------------Execution: 2 -----------------------------------
MeQanTT,org.meqantt.RegressionTest,17841,0,0,0,15.81,SUCCESS
MeQanTT,org.meqantt.message.PingRespMessageTest,1,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.ConnectMessageTest,9,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.PublishMessageTest,2,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.SubAckMessageTest,2,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.ScratchTests,1,0,0,0,0.001,SUCCESS
MeQanTT,org.meqantt.message.SubscribeMessageTest,1,0,0,0,0.0,SUCCESS
MeQanTT,org.meqantt.message.PingReqMessageTest,4,0,0,0,0.0,SUCCESS
MeQanTT,org.meqantt.message.ConnAckMessageTest,6,0,0,0,0.0,SUCCESS
