Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
OAutho2.0ProviderForJava,null,2470,0,0,0,0.48,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2MessageTest,2,0,0,0,0.016,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2ValidatorTest,16,0,0,0,0.006,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.server.OAuth2ServletTest,6,0,0,0,0.092,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2Test,6,0,0,0,0.001,SUCCESS
Sum: 0.595
--------------------Execution: 2 -----------------------------------
OAutho2.0ProviderForJava,null,2470,0,0,0,1.015,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2MessageTest,2,0,0,0,0.028,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2ValidatorTest,16,0,0,0,0.002,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.server.OAuth2ServletTest,6,0,0,0,0.123,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2Test,6,0,0,0,0.003,SUCCESS
Sum: 1.1709999999999998
--------------------Execution: 3 -----------------------------------
OAutho2.0ProviderForJava,null,2470,0,0,0,1.246,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2MessageTest,2,0,0,0,0.034,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2ValidatorTest,16,0,0,0,0.014,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.server.OAuth2ServletTest,6,0,0,0,0.193,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2Test,6,0,0,0,0.001,SUCCESS
Sum: 1.488
--------------------Execution: 4 -----------------------------------
OAutho2.0ProviderForJava,null,2470,0,0,0,1.656,SUCCESS
OAutho2.0ProviderForJava,net.oauth.v2.OAuth2MessageTest,2,0,0,0,0.038,SUCCESS
