Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
avro,null,4,0,0,0,0.016,SUCCESS
avro,null,14,0,0,0,0.002,SUCCESS
avro,null,10,0,0,0,0.023,SUCCESS
avro,null,15,0,0,0,0.081,SUCCESS
avro,null,17,0,0,0,0.027,SUCCESS
avro,null,5,0,0,0,0.008,SUCCESS
avro,null,4,0,0,0,0.019,SUCCESS
avro,null,3,0,0,0,0.063,SUCCESS
avro,null,1,0,0,0,0.003,SUCCESS
avro,null,11,0,0,0,0.028,SUCCESS
avro,null,3,0,0,0,0.002,SUCCESS
avro,null,1,0,0,0,0.001,SUCCESS
avro,null,6,0,0,0,0.003,SUCCESS
avro,null,16,0,0,0,0.033,SUCCESS
avro,null,12,0,0,0,1.162,SUCCESS
avro,null,1,0,0,0,0.027,SUCCESS
avro,null,1,0,0,0,0.006,SUCCESS
avro,null,48,0,0,0,0.066,SUCCESS
avro,null,3,0,0,0,0.006,SUCCESS
avro,null,2,0,0,0,0.006,SUCCESS
avro,null,1,0,0,0,0.001,SUCCESS
avro,null,4,0,0,0,0.057,SUCCESS
avro,null,9,0,0,0,0.014,SUCCESS
avro,null,1,0,0,0,0.002,SUCCESS
avro,null,2,0,0,0,0.006,SUCCESS
avro,null,1,0,0,0,0.01,SUCCESS
avro,null,35,0,0,0,0.046,SUCCESS
avro,null,29,0,0,0,0.007,SUCCESS
avro,null,8,0,0,0,0.005,SUCCESS
avro,null,13,0,0,0,0.007,SUCCESS
avro,null,2,0,0,0,0.006,SUCCESS
avro,null,1,0,0,0,0.002,SUCCESS
avro,null,4,0,0,0,0.017,SUCCESS
avro,null,5,0,0,0,0.005,SUCCESS
avro,null,32,0,0,0,0.023,SUCCESS
avro,null,2,0,0,0,0.001,SUCCESS
avro,null,84,0,0,0,0.021,SUCCESS
avro,null,1,0,0,0,0.01,SUCCESS
avro,null,16,0,0,0,0.013,SUCCESS
avro,null,74,0,0,0,0.101,SUCCESS
avro,null,376,0,0,0,0.067,SUCCESS
