Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
creadur-rat,org.apache.rat.RegressionTest3,500,0,0,0,1.733,SUCCESS
creadur-rat,org.apache.rat.RegressionTest17,500,0,0,0,2.068,SUCCESS
creadur-rat,org.apache.rat.RegressionTest23,500,0,0,0,0.813,SUCCESS
creadur-rat,org.apache.rat.RegressionTest4,500,0,0,0,0.802,SUCCESS
creadur-rat,org.apache.rat.RegressionTest30,237,0,0,0,0.407,SUCCESS
creadur-rat,org.apache.rat.RegressionTest22,500,0,0,0,0.793,SUCCESS
creadur-rat,org.apache.rat.RegressionTest7,500,0,0,0,0.547,SUCCESS
creadur-rat,org.apache.rat.RegressionTest5,499,0,0,0,0.721,SUCCESS
creadur-rat,org.apache.rat.RegressionTest11,500,0,0,0,0.539,SUCCESS
creadur-rat,org.apache.rat.RegressionTest27,500,0,0,0,0.583,SUCCESS
creadur-rat,org.apache.rat.RegressionTest19,500,0,0,0,0.37,SUCCESS
creadur-rat,org.apache.rat.RegressionTest21,500,0,0,0,0.415,SUCCESS
creadur-rat,org.apache.rat.RegressionTest24,500,0,0,0,0.388,SUCCESS
creadur-rat,org.apache.rat.RegressionTest18,500,0,0,0,0.5,SUCCESS
creadur-rat,org.apache.rat.RegressionTest25,500,0,0,0,0.486,SUCCESS
creadur-rat,org.apache.rat.RegressionTest2,500,0,0,0,0.428,SUCCESS
creadur-rat,org.apache.rat.RegressionTest28,499,0,0,0,0.581,SUCCESS
creadur-rat,org.apache.rat.RegressionTest16,500,0,0,0,0.487,SUCCESS
creadur-rat,org.apache.rat.RegressionTest12,500,0,0,0,0.687,SUCCESS
creadur-rat,org.apache.rat.RegressionTest0,500,0,0,0,0.261,SUCCESS
creadur-rat,org.apache.rat.RegressionTest8,500,0,0,0,0.485,SUCCESS
creadur-rat,org.apache.rat.RegressionTest13,500,0,0,0,0.587,SUCCESS
creadur-rat,org.apache.rat.RegressionTest0,500,0,0,0,0.236,SUCCESS
creadur-rat,org.apache.rat.RegressionTest1,500,0,0,0,0.415,SUCCESS
creadur-rat,org.apache.rat.RegressionTest2,500,0,0,0,0.438,SUCCESS
creadur-rat,org.apache.rat.RegressionTest3,500,0,0,0,0.382,SUCCESS
creadur-rat,org.apache.rat.RegressionTest4,500,0,0,0,0.278,SUCCESS
creadur-rat,org.apache.rat.RegressionTest5,499,0,0,0,0.377,SUCCESS
creadur-rat,org.apache.rat.RegressionTest6,500,0,0,0,0.371,SUCCESS
creadur-rat,org.apache.rat.RegressionTest7,500,0,0,0,0.378,SUCCESS
creadur-rat,org.apache.rat.RegressionTest8,500,0,0,0,0.286,SUCCESS
creadur-rat,org.apache.rat.RegressionTest9,500,0,0,0,0.225,SUCCESS
creadur-rat,org.apache.rat.RegressionTest10,499,0,0,0,0.386,SUCCESS
creadur-rat,org.apache.rat.RegressionTest11,500,0,0,0,0.333,SUCCESS
creadur-rat,org.apache.rat.RegressionTest12,500,0,0,0,0.432,SUCCESS
creadur-rat,org.apache.rat.RegressionTest13,500,0,0,0,0.4,SUCCESS
creadur-rat,org.apache.rat.RegressionTest14,500,0,0,0,0.518,SUCCESS
creadur-rat,org.apache.rat.RegressionTest15,500,0,0,0,0.396,SUCCESS
creadur-rat,org.apache.rat.RegressionTest16,500,0,0,0,0.392,SUCCESS
creadur-rat,org.apache.rat.RegressionTest17,500,0,0,0,0.33,SUCCESS
creadur-rat,org.apache.rat.RegressionTest18,500,0,0,0,0.364,SUCCESS
creadur-rat,org.apache.rat.RegressionTest19,500,0,0,0,0.239,SUCCESS
creadur-rat,org.apache.rat.RegressionTest20,499,0,0,0,0.305,SUCCESS
creadur-rat,org.apache.rat.RegressionTest21,500,0,0,0,0.445,SUCCESS
creadur-rat,org.apache.rat.RegressionTest22,500,0,0,0,0.407,SUCCESS
creadur-rat,org.apache.rat.RegressionTest23,500,0,0,0,0.334,SUCCESS
creadur-rat,org.apache.rat.RegressionTest24,500,0,0,0,0.363,SUCCESS
creadur-rat,org.apache.rat.RegressionTest25,500,0,0,0,0.468,SUCCESS
creadur-rat,org.apache.rat.RegressionTest26,500,0,0,0,0.367,SUCCESS
creadur-rat,org.apache.rat.RegressionTest27,500,0,0,0,0.403,SUCCESS
creadur-rat,org.apache.rat.RegressionTest28,499,0,0,0,0.327,SUCCESS
creadur-rat,org.apache.rat.RegressionTest29,500,0,0,0,0.382,SUCCESS
creadur-rat,org.apache.rat.RegressionTest30,237,0,0,0,0.171,SUCCESS
creadur-rat,org.apache.rat.RegressionTest,0,0,0,0,11.17,SUCCESS
creadur-rat,org.apache.rat.RegressionTest1,500,0,0,0,0.242,SUCCESS
creadur-rat,org.apache.rat.RegressionTest20,499,0,0,0,0.37,SUCCESS
creadur-rat,org.apache.rat.RegressionTest6,500,0,0,0,0.244,SUCCESS
creadur-rat,org.apache.rat.RegressionTest9,500,0,0,0,0.318,SUCCESS
creadur-rat,org.apache.rat.RegressionTest10,499,0,0,0,0.342,SUCCESS
creadur-rat,org.apache.rat.RegressionTest29,500,0,0,0,0.338,SUCCESS
creadur-rat,org.apache.rat.RegressionTest26,500,0,0,0,0.503,SUCCESS
creadur-rat,org.apache.rat.RegressionTest14,500,0,0,0,0.333,SUCCESS
creadur-rat,org.apache.rat.RegressionTest15,500,0,0,0,0.373,SUCCESS
creadur-rat,org.apache.rat.annotation.TestLicenseAppender,31,0,0,0,0.257,SUCCESS
creadur-rat,org.apache.rat.header.HeaderMatcherTest,5,0,0,0,0.015,SUCCESS
creadur-rat,org.apache.rat.header.HeaderMatcherWithBeansTest,2,0,0,0,0.007,SUCCESS
creadur-rat,org.apache.rat.header.FilteringSequenceFactoryTest,3,0,0,0,0.006,SUCCESS
creadur-rat,org.apache.rat.header.ArrayCharFilterTest,1,0,0,0,0.002,SUCCESS
creadur-rat,org.apache.rat.ReportTest,4,0,0,0,0.752,SUCCESS
creadur-rat,org.apache.rat.ReporterTest,2,0,0,0,0.167,SUCCESS
creadur-rat,org.apache.rat.policy.DefaultPolicyTest,9,0,0,0,0.077,SUCCESS
creadur-rat,org.apache.rat.report.xml.XmlReportFactoryTest,2,0,0,0,0.644,SUCCESS
creadur-rat,org.apache.rat.report.xml.writer.XmlWriterUtilsTest,2,0,0,0,0.002,SUCCESS
creadur-rat,org.apache.rat.report.xml.writer.impl.base.XmlWriterTest,27,0,0,0,0.03,SUCCESS
creadur-rat,org.apache.rat.report.xml.XmlReportTest,1,0,0,0,0.03,SUCCESS
creadur-rat,org.apache.rat.ReportConfigurationTest,18,0,0,0,0.367,SUCCESS
creadur-rat,org.apache.rat.configuration.ConfigurationReaderTest,4,0,0,0,0.022,SUCCESS
creadur-rat,org.apache.rat.configuration.FormatTest,1,0,0,0,0.002,SUCCESS
creadur-rat,org.apache.rat.DefaultsTest,1,0,0,0,0.009,SUCCESS
creadur-rat,org.apache.rat.config.ReportFormatTest,2,0,0,0,0.004,SUCCESS
creadur-rat,org.apache.rat.config.AddLicenseHeadersTest,1,0,0,0,0.001,SUCCESS
creadur-rat,org.apache.rat.config.SourceCodeManagementSystemsTest,2,0,0,0,0.003,SUCCESS
creadur-rat,org.apache.rat.walker.FileNameComparatorTest,1,0,0,0,0.003,SUCCESS
creadur-rat,org.apache.rat.walker.DirectoryWalkerTest,1,0,0,0,0.066,SUCCESS
creadur-rat,org.apache.rat.document.ToNameTransformerTest,2,0,0,0,0.002,SUCCESS
creadur-rat,org.apache.rat.document.impl.guesser.BinaryGuesserTest,7,0,0,0,0.012,SUCCESS
creadur-rat,org.apache.rat.document.impl.guesser.ArchiveGuesserTest,2,0,0,0,0.005,SUCCESS
creadur-rat,org.apache.rat.document.impl.guesser.NoteGuesserTest,3,0,0,0,0.004,SUCCESS
creadur-rat,org.apache.rat.document.impl.guesser.GuessUtilsTest,1,0,0,0,0.003,SUCCESS
creadur-rat,org.apache.rat.document.impl.SingularFileDocumentTest,2,0,0,0,0.003,SUCCESS
creadur-rat,org.apache.rat.document.impl.util.DocumentAnalyserMultiplexerTest,1,0,0,0,0.002,SUCCESS
creadur-rat,org.apache.rat.analysis.license.AppliedApacheSoftwareLicenseTest,2,0,0,0,0.158,SUCCESS
creadur-rat,org.apache.rat.analysis.license.ApacheSoftwareLicenseTest,2,0,0,0,0.03,SUCCESS
creadur-rat,org.apache.rat.analysis.license.W3CLicenseTest,4,0,0,0,0.043,SUCCESS
creadur-rat,org.apache.rat.analysis.license.GPLLicenseTest,6,0,0,0,0.053,SUCCESS
creadur-rat,org.apache.rat.analysis.license.MITLicenseTest,2,0,0,0,0.023,SUCCESS
creadur-rat,org.apache.rat.analysis.license.GeneratedLicenseTest,2,0,0,0,0.029,SUCCESS
creadur-rat,org.apache.rat.analysis.license.IllumosLicenseTest,2,0,0,0,0.022,SUCCESS
creadur-rat,org.apache.rat.analysis.license.OASISLicenseTest,2,0,0,0,0.018,SUCCESS
creadur-rat,org.apache.rat.analysis.license.CDDL1LicenseTest,2,0,0,0,0.019,SUCCESS
creadur-rat,org.apache.rat.analysis.AnalyserFactoryTest,5,0,0,0,0.02,SUCCESS
creadur-rat,org.apache.rat.analysis.HeaderCheckWorkerTest,1,0,0,0,0.002,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.SimpleCopyrightTests,1,0,0,0,0.002,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.NotMatcherTest,2,0,0,0,0.003,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.SimpleTextMatcherTest,4,0,0,0,0.004,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.CopyrightMatcherTest,10,0,0,0,0.034,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.FullTextMatcherTest,3,0,0,0,0.004,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.SimpleRegexMatcherTest,3,0,0,0,0.006,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.OrMatcherTest,3,0,0,0,0.006,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.AndMatcherTest,3,0,0,0,0.004,SUCCESS
creadur-rat,org.apache.rat.analysis.matchers.SPDXMatcherTest,4,0,0,0,0.006,SUCCESS
creadur-rat,org.apache.rat.ReportTransformerTest,1,0,0,0,0.034,SUCCESS
creadur-rat,org.apache.rat.anttasks.ReportTest,14,0,0,2,3.436,SUCCESS
Sum: 46.51499999999999
--------------------Execution: 2 -----------------------------------
creadur-rat,org.apache.rat.RegressionTest3,500,0,0,0,1.603,SUCCESS
creadur-rat,org.apache.rat.RegressionTest17,500,0,0,0,1.804,SUCCESS
creadur-rat,org.apache.rat.RegressionTest23,500,0,0,0,0.842,SUCCESS
creadur-rat,org.apache.rat.RegressionTest4,500,0,0,0,0.651,SUCCESS
creadur-rat,org.apache.rat.RegressionTest30,237,0,0,0,0.425,SUCCESS
creadur-rat,org.apache.rat.RegressionTest22,500,0,0,0,0.78,SUCCESS
creadur-rat,org.apache.rat.RegressionTest7,500,0,0,0,0.682,SUCCESS
creadur-rat,org.apache.rat.RegressionTest5,499,0,0,0,0.597,SUCCESS
creadur-rat,org.apache.rat.RegressionTest11,500,0,0,0,0.489,SUCCESS
creadur-rat,org.apache.rat.RegressionTest27,500,0,0,0,0.592,SUCCESS
