Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
jboss-dmr,null,17,0,0,0,0.103,SUCCESS
jboss-dmr,null,16,0,0,0,0.001,SUCCESS
jboss-dmr,null,19,0,0,0,0.0,SUCCESS
jboss-dmr,null,27,0,0,0,0.078,SUCCESS
jboss-dmr,null,19,0,0,0,0.006,SUCCESS
jboss-dmr,null,6,0,0,0,0.004,SUCCESS
jboss-dmr,null,7,0,0,0,0.012,SUCCESS
jboss-dmr,null,21,0,0,0,0.038,SUCCESS
jboss-dmr,null,10,0,0,0,0.013,SUCCESS
jboss-dmr,null,40,0,0,0,0.134,SUCCESS
jboss-dmr,null,14,0,0,0,0.613,SUCCESS
jboss-dmr,null,21,0,0,0,0.034,SUCCESS
jboss-dmr,null,10,0,0,0,0.003,SUCCESS
jboss-dmr,null,17,0,0,0,1.022,SUCCESS
jboss-dmr,null,24,0,0,0,0.05,SUCCESS
jboss-dmr,null,5,0,0,0,0.0,SUCCESS
jboss-dmr,null,19,0,0,0,0.0,SUCCESS
jboss-dmr,null,24,0,0,0,0.011,SUCCESS
jboss-dmr,null,13531,11,0,0,5.39,FAILURE
jboss-dmr,null,6,0,0,0,0.001,SUCCESS
jboss-dmr,null,14,0,0,0,0.001,SUCCESS
jboss-dmr,null,8,0,0,0,57.86,SUCCESS
jboss-dmr,null,23,0,0,0,0.034,SUCCESS
jboss-dmr,null,2,0,0,0,0.0,SUCCESS
jboss-dmr,null,17,0,0,0,0.003,SUCCESS
jboss-dmr,null,18,0,0,0,0.003,SUCCESS
jboss-dmr,null,10,0,0,0,0.0,SUCCESS
jboss-dmr,null,17,0,0,0,0.005,SUCCESS
jboss-dmr,null,1,0,0,0,0.0,SUCCESS
Sum: 65.419
--------------------Execution: 2 -----------------------------------
jboss-dmr,null,17,0,0,0,0.066,SUCCESS
jboss-dmr,null,16,0,0,0,0.0,SUCCESS
jboss-dmr,null,19,0,0,0,0.0,SUCCESS
jboss-dmr,null,27,0,0,0,0.056,SUCCESS
jboss-dmr,null,19,0,0,0,0.007,SUCCESS
jboss-dmr,null,6,0,0,0,0.001,SUCCESS
jboss-dmr,null,7,0,0,0,0.006,SUCCESS
jboss-dmr,null,21,0,0,0,0.034,SUCCESS
jboss-dmr,null,10,0,0,0,0.01,SUCCESS
jboss-dmr,null,40,0,0,0,0.099,SUCCESS
jboss-dmr,null,14,0,0,0,0.491,SUCCESS
jboss-dmr,null,21,0,0,0,0.029,SUCCESS
jboss-dmr,null,10,0,0,0,0.004,SUCCESS
jboss-dmr,null,17,0,0,0,0.888,SUCCESS
jboss-dmr,null,24,0,0,0,0.042,SUCCESS
jboss-dmr,null,5,0,0,0,0.0,SUCCESS
jboss-dmr,null,19,0,0,0,0.004,SUCCESS
jboss-dmr,null,24,0,0,0,0.011,SUCCESS
jboss-dmr,null,13531,11,0,0,4.443,FAILURE
jboss-dmr,null,6,0,0,0,0.001,SUCCESS
jboss-dmr,null,14,0,0,0,0.0,SUCCESS
jboss-dmr,null,8,0,0,0,47.231,SUCCESS
jboss-dmr,null,23,0,0,0,0.021,SUCCESS
jboss-dmr,null,2,0,0,0,0.0,SUCCESS
jboss-dmr,null,17,0,0,0,0.027,SUCCESS
jboss-dmr,null,18,0,0,0,0.001,SUCCESS
jboss-dmr,null,10,0,0,0,0.0,SUCCESS
jboss-dmr,null,17,0,0,0,0.024,SUCCESS
jboss-dmr,null,1,0,0,0,0.0,SUCCESS
Sum: 53.496
--------------------Execution: 3 -----------------------------------
jboss-dmr,null,17,0,0,0,0.064,SUCCESS
jboss-dmr,null,16,0,0,0,0.001,SUCCESS
jboss-dmr,null,19,0,0,0,0.004,SUCCESS
jboss-dmr,null,27,0,0,0,0.067,SUCCESS
jboss-dmr,null,19,0,0,0,0.012,SUCCESS
jboss-dmr,null,6,0,0,0,0.0,SUCCESS
jboss-dmr,null,7,0,0,0,0.008,SUCCESS
