Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
jsoup-learning,org.jsoup.parser.AttributeParseTest,6,0,0,0,0.152,SUCCESS
jsoup-learning,org.jsoup.parser.TagTest,9,0,0,0,0.002,SUCCESS
jsoup-learning,org.jsoup.parser.XmlTreeBuilderTest,9,0,0,1,0.002,SUCCESS
jsoup-learning,org.jsoup.parser.HtmlParserTest,87,0,0,0,0.181,SUCCESS
jsoup-learning,org.jsoup.parser.RegressionTest,2193,0,0,0,1.141,SUCCESS
jsoup-learning,org.jsoup.parser.CharacterReaderTest,16,0,0,0,0.001,SUCCESS
jsoup-learning,org.jsoup.parser.TokenQueueTest,6,0,0,0,0.001,SUCCESS
jsoup-learning,org.jsoup.select.ElementsTest,28,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.select.QueryParserTest,2,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.select.CssTest,16,0,0,0,0.03,SUCCESS
jsoup-learning,org.jsoup.select.SelectorTest,48,0,0,0,0.038,SUCCESS
jsoup-learning,org.jsoup.helper.DataUtilTest,3,0,0,0,0.016,SUCCESS
jsoup-learning,org.jsoup.helper.StringUtilTest,8,0,0,0,0.006,SUCCESS
jsoup-learning,org.jsoup.helper.HttpConnectionTest,15,0,0,0,0.013,SUCCESS
jsoup-learning,org.jsoup.safety.CleanerTest,22,0,0,0,0.03,SUCCESS
jsoup-learning,org.jsoup.integration.ParseTest,10,0,0,0,0.201,SUCCESS
jsoup-learning,org.jsoup.integration.UrlConnectTest,1,0,0,1,0.0,SUCCESS
jsoup-learning,org.jsoup.nodes.TextNodeTest,5,0,0,0,0.001,SUCCESS
jsoup-learning,org.jsoup.nodes.DocumentTest,7,0,0,0,0.002,SUCCESS
jsoup-learning,org.jsoup.nodes.FormElementTest,7,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.nodes.EntitiesTest,8,0,0,0,0.001,SUCCESS
jsoup-learning,org.jsoup.nodes.AttributeTest,2,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.nodes.AttributesTest,1,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.nodes.NodeTest,21,0,0,0,0.004,SUCCESS
jsoup-learning,org.jsoup.nodes.ElementTest,57,0,0,0,0.008,SUCCESS
jsoup-learning,org.jsoup.nodes.DocumentTypeTest,4,0,0,0,0.0,SUCCESS
Sum: 1.8299999999999996
--------------------Execution: 2 -----------------------------------
jsoup-learning,org.jsoup.parser.AttributeParseTest,6,0,0,0,0.206,SUCCESS
jsoup-learning,org.jsoup.parser.TagTest,9,0,0,0,0.003,SUCCESS
jsoup-learning,org.jsoup.parser.XmlTreeBuilderTest,9,0,0,1,0.001,SUCCESS
jsoup-learning,org.jsoup.parser.HtmlParserTest,87,0,0,0,0.119,SUCCESS
jsoup-learning,org.jsoup.parser.RegressionTest,2193,0,0,0,1.44,SUCCESS
jsoup-learning,org.jsoup.parser.CharacterReaderTest,16,0,0,0,0.003,SUCCESS
jsoup-learning,org.jsoup.parser.TokenQueueTest,6,0,0,0,0.001,SUCCESS
jsoup-learning,org.jsoup.select.ElementsTest,28,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.select.QueryParserTest,2,0,0,0,0.001,SUCCESS
jsoup-learning,org.jsoup.select.CssTest,16,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.select.SelectorTest,48,0,0,0,0.045,SUCCESS
jsoup-learning,org.jsoup.helper.DataUtilTest,3,0,0,0,0.011,SUCCESS
jsoup-learning,org.jsoup.helper.StringUtilTest,8,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.helper.HttpConnectionTest,15,0,0,0,0.011,SUCCESS
jsoup-learning,org.jsoup.safety.CleanerTest,22,0,0,0,0.031,SUCCESS
jsoup-learning,org.jsoup.integration.ParseTest,10,0,0,0,0.162,SUCCESS
jsoup-learning,org.jsoup.integration.UrlConnectTest,1,0,0,1,0.001,SUCCESS
jsoup-learning,org.jsoup.nodes.TextNodeTest,5,0,0,0,0.001,SUCCESS
jsoup-learning,org.jsoup.nodes.DocumentTest,7,0,0,0,0.001,SUCCESS
jsoup-learning,org.jsoup.nodes.FormElementTest,7,0,0,0,0.012,SUCCESS
jsoup-learning,org.jsoup.nodes.EntitiesTest,8,0,0,0,0.002,SUCCESS
jsoup-learning,org.jsoup.nodes.AttributeTest,2,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.nodes.AttributesTest,1,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.nodes.NodeTest,21,0,0,0,0.0,SUCCESS
jsoup-learning,org.jsoup.nodes.ElementTest,57,0,0,0,0.025,SUCCESS
jsoup-learning,org.jsoup.nodes.DocumentTypeTest,4,0,0,0,0.0,SUCCESS
Sum: 2.0759999999999987
--------------------Execution: 3 -----------------------------------
