Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
kornakapi,null,39707,12,9,0,6.854,FAILURE
kornakapi,org.plista.kornakapi.RegressionTest9,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest13,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest16,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest20,N/A,N/A,1,N/A,0.000,ERROR
kornakapi,org.plista.kornakapi.RegressionTest26,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest33,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest45,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest57,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest66,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.core.config.ConfigurationTest,2,0,0,0,0.001,SUCCESS
Sum: 6.855
--------------------Execution: 2 -----------------------------------
kornakapi,null,39707,12,9,0,8.597,FAILURE
kornakapi,org.plista.kornakapi.RegressionTest9,N/A,N/A,1,N/A,0.002,ERROR
kornakapi,org.plista.kornakapi.RegressionTest13,N/A,N/A,1,N/A,0.000,ERROR
kornakapi,org.plista.kornakapi.RegressionTest16,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest20,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest26,N/A,N/A,1,N/A,0.012,ERROR
kornakapi,org.plista.kornakapi.RegressionTest33,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest45,N/A,N/A,1,N/A,0.002,ERROR
kornakapi,org.plista.kornakapi.RegressionTest57,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.RegressionTest66,N/A,N/A,1,N/A,0.001,ERROR
kornakapi,org.plista.kornakapi.core.config.ConfigurationTest,2,0,0,0,0.001,SUCCESS
Sum: 8.597999999999999
--------------------Execution: 3 -----------------------------------
kornakapi,null,39707,12,9,0,8.814,FAILURE
