Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,12.310,SUCCESS
pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,2,0,0,0,11.870,SUCCESS
pignlproc,pignlproc.storage.TestWikipediaLoader,2,0,0,0,11.850,SUCCESS
pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,2,0,0,0,11.830,SUCCESS
pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,11.930,SUCCESS
pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,0.156,SUCCESS
pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,0.018,SUCCESS
pignlproc,pignlproc.RegressionTest,5826,0,0,0,13.510,SUCCESS
,,5845,,,,73.474,
pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,12.960,SUCCESS
pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,2,0,0,0,12.320,SUCCESS
pignlproc,pignlproc.storage.TestWikipediaLoader,2,0,0,0,12.040,SUCCESS
pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,2,0,0,0,12.110,SUCCESS
pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,12.020,SUCCESS
pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,0.125,SUCCESS
pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,0.287,SUCCESS
pignlproc,pignlproc.RegressionTest,5826,0,0,0,16.630,SUCCESS
,,5845,,,,78.492,
pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,14.750,SUCCESS
pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,2,0,0,0,12.980,SUCCESS
pignlproc,pignlproc.storage.TestWikipediaLoader,2,0,0,0,12.770,SUCCESS
pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,2,0,0,0,11.870,SUCCESS
pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,11.800,SUCCESS
pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,0.115,SUCCESS
pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,0.015,SUCCESS
pignlproc,pignlproc.RegressionTest,5826,0,0,0,12.380,SUCCESS
,,,,,,76.680,
pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,12.360,SUCCESS
pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,2,0,0,0,11.870,SUCCESS
pignlproc,pignlproc.storage.TestWikipediaLoader,2,0,0,0,11.860,SUCCESS
pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,2,0,0,0,11.800,SUCCESS
pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,11.810,SUCCESS
pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,0.104,SUCCESS
pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,0.012,SUCCESS
pignlproc,pignlproc.RegressionTest,5826,0,0,0,9.244,SUCCESS
,,,,,,69.060,
