Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_lucene-interval-fields,com.greplin.interval.NumericIntervalFieldTest,1,0,0,0,1.537,SUCCESS
javamop_lucene-interval-fields,null,4,0,4,0,12.95,FAILURE
javamop_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,N/A,N/A,1,N/A,11.060,ERROR
javamop_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,N/A,N/A,1,N/A,0.015,ERROR
javamop_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,N/A,N/A,1,N/A,0.011,ERROR
javamop_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,N/A,N/A,1,N/A,0.008,ERROR
javamop_lucene-interval-fields,com.greplin.interval.LongIntervalTest,2,0,0,0,0.001,SUCCESS
javamop_lucene-interval-fields,null,2,0,2,0,0.001,FAILURE
javamop_lucene-interval-fields,com.greplin.interval.NumericIntervalIntersectionQueryTest,N/A,N/A,1,N/A,0.000,ERROR
javamop_lucene-interval-fields,com.greplin.interval.NumericIntervalIntersectionQueryTest,N/A,N/A,1,N/A,0.000,ERROR
javamop_lucene-interval-fields,com.greplin.interval.RegressionTest,5810,0,0,0,2.991,SUCCESS
Sum: 17.479999999999997
--------------------Execution: 2 -----------------------------------
javamop_lucene-interval-fields,com.greplin.interval.NumericIntervalFieldTest,1,0,0,0,1.391,SUCCESS
javamop_lucene-interval-fields,null,4,0,4,0,11.22,FAILURE
javamop_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,N/A,N/A,1,N/A,9.587,ERROR
javamop_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,N/A,N/A,1,N/A,0.012,ERROR
javamop_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,N/A,N/A,1,N/A,0.009,ERROR
javamop_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,N/A,N/A,1,N/A,0.009,ERROR
javamop_lucene-interval-fields,com.greplin.interval.LongIntervalTest,2,0,0,0,0.001,SUCCESS
javamop_lucene-interval-fields,null,2,0,2,0,0.001,FAILURE
javamop_lucene-interval-fields,com.greplin.interval.NumericIntervalIntersectionQueryTest,N/A,N/A,1,N/A,0.001,ERROR
javamop_lucene-interval-fields,com.greplin.interval.NumericIntervalIntersectionQueryTest,N/A,N/A,1,N/A,0.000,ERROR
javamop_lucene-interval-fields,com.greplin.interval.RegressionTest,5810,0,0,0,2.218,SUCCESS
Sum: 14.831
--------------------Execution: 3 -----------------------------------
javamop_lucene-interval-fields,com.greplin.interval.NumericIntervalFieldTest,1,0,0,0,1.269,SUCCESS
javamop_lucene-interval-fields,null,4,0,4,0,11.1,FAILURE
