Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
siesta_lucene-interval-fields,com.greplin.interval.NumericIntervalFieldTest,1,0,0,0,0.239,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,4,0,0,0,2.503,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.LongIntervalTest,2,0,0,0,0.002,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.NumericIntervalIntersectionQueryTest,2,0,0,0,0.664,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.RegressionTest,5810,0,0,0,2.973,SUCCESS
Sum: 6.381
--------------------Execution: 2 -----------------------------------
siesta_lucene-interval-fields,com.greplin.interval.NumericIntervalFieldTest,1,0,0,0,0.246,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,4,0,0,0,2.661,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.LongIntervalTest,2,0,0,0,0.001,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.NumericIntervalIntersectionQueryTest,2,0,0,0,0.596,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.RegressionTest,5810,0,0,0,2.924,SUCCESS
Sum: 6.428
--------------------Execution: 3 -----------------------------------
siesta_lucene-interval-fields,com.greplin.interval.NumericIntervalFieldTest,1,0,0,0,0.01,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,4,0,0,0,0.015,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.LongIntervalTest,2,0,0,0,0.002,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.NumericIntervalIntersectionQueryTest,2,0,0,0,0.441,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.RegressionTest,5810,0,0,0,2.765,SUCCESS
Sum: 3.233
--------------------Execution: 4 -----------------------------------
siesta_lucene-interval-fields,com.greplin.interval.NumericIntervalFieldTest,1,0,0,0,0.247,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.InNumericIntervalQueryTest,4,0,0,0,2.821,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.LongIntervalTest,2,0,0,0,0.005,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.NumericIntervalIntersectionQueryTest,2,0,0,0,0.656,SUCCESS
siesta_lucene-interval-fields,com.greplin.interval.RegressionTest,5810,0,0,0,3.021,SUCCESS
Sum: 6.75
