Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_OAuth2.0ProviderForJava,null,2470,0,0,0,3.022,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2MessageTest,2,0,0,0,2.893,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2ValidatorTest,16,0,0,0,0.528,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.server.OAuth2ServletTest,6,0,0,0,7.324,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2Test,6,0,0,0,0.001,SUCCESS
Sum: 13.767999999999999
--------------------Execution: 2 -----------------------------------
javamop_OAuth2.0ProviderForJava,null,2470,0,0,0,3.598,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2MessageTest,2,0,0,0,2.804,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2ValidatorTest,16,0,0,0,0.386,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.server.OAuth2ServletTest,6,0,0,0,6.825,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2Test,6,0,0,0,0.001,SUCCESS
Sum: 13.613999999999999
--------------------Execution: 3 -----------------------------------
javamop_OAuth2.0ProviderForJava,null,2470,0,0,0,3.417,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2MessageTest,2,0,0,0,2.977,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2ValidatorTest,16,0,0,0,0.466,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.server.OAuth2ServletTest,6,0,0,0,6.87,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2Test,6,0,0,0,0.001,SUCCESS
Sum: 13.731
--------------------Execution: 4 -----------------------------------
javamop_OAuth2.0ProviderForJava,null,2470,0,0,0,3.507,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2MessageTest,2,0,0,0,3.13,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.OAuth2ValidatorTest,16,0,0,0,0.459,SUCCESS
javamop_OAuth2.0ProviderForJava,net.oauth.v2.server.OAuth2ServletTest,6,0,0,0,6.328,SUCCESS
