Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_asterisk-java,null,1,0,1,0,13.45,FAILURE
javamop_asterisk-java,org.asteriskjava.config.ConfigFileParserTest,4,0,0,0,0.172,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.ConfbridgeJoinEventTest,1,0,0,0,7.411,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.AgiExecStartEventTest,1,0,0,0,0.021,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.ChanSpyStopEventTest,1,0,0,0,0.084,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.AsyncAgiEventTest,2,0,0,0,0.051,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.BridgeCreateEventTest,1,0,0,0,0.015,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.T38FaxStatusEventTest,2,0,0,0,0.031,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.CdrEventTest,3,0,0,0,0.02,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.ChannelTalkingStartEventTest,1,0,0,0,0.019,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.MusicOnHoldEventTest,1,0,0,0,0.013,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.NewStateEventTest,2,0,0,0,0.072,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.BridgeEnterEventTest,1,0,0,0,0.003,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.ChannelReloadEventTest,3,0,0,0,0.006,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.AttendedTransferEventTest,1,0,0,0,0.024,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.HangupEventTest,2,0,0,0,0.129,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.ChannelTalkingStopEventTest,1,0,0,0,0.035,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.SkypeBuddyStatusEventTest,2,0,0,0,0.005,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.AgentConnectEventTest,1,0,0,0,0.022,SUCCESS
javamop_asterisk-java,org.asteriskjava.manager.event.ConfbridgeLeaveEventTest,1,0,0,0,0.011,SUCCESS
