Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_avro,null,17,0,11,0,3.507,FAILURE
javamop_avro,null,1,0,0,0,0.653,SUCCESS
javamop_avro,null,2,0,2,0,0.007,FAILURE
javamop_avro,null,5,0,2,0,6.404,FAILURE
javamop_avro,null,6,0,6,0,0.005,FAILURE
javamop_avro,null,33,0,4,0,0.199,FAILURE
javamop_avro,null,376,0,0,0,1.298,SUCCESS
javamop_avro,null,2,0,2,0,0.002,FAILURE
javamop_avro,null,17,0,15,1,0.828,FAILURE
javamop_avro,null,9,0,6,0,0.155,FAILURE
javamop_avro,null,84,0,0,0,0.027,SUCCESS
javamop_avro,null,972,0,252,0,0.857,FAILURE
javamop_avro,null,2,0,2,0,0.17,FAILURE
javamop_avro,null,1,0,0,0,0.001,SUCCESS
javamop_avro,null,1,0,1,0,0.0,FAILURE
javamop_avro,null,816,0,72,0,4.592,FAILURE
javamop_avro,null,16,0,0,0,0.182,SUCCESS
javamop_avro,null,3,0,0,0,0.001,SUCCESS
javamop_avro,null,1,0,1,0,0.019,FAILURE
javamop_avro,null,12,0,0,0,5.236,SUCCESS
javamop_avro,null,4,0,0,0,0.005,SUCCESS
javamop_avro,null,2,0,1,0,0.056,FAILURE
javamop_avro,null,4,0,3,0,0.02,FAILURE
javamop_avro,null,3,0,1,0,0.081,FAILURE
javamop_avro,null,1,0,1,0,0.0,FAILURE
javamop_avro,null,1,0,0,0,0.049,SUCCESS
javamop_avro,null,1,0,1,0,0.26,FAILURE
javamop_avro,null,1,0,1,0,0.001,FAILURE
javamop_avro,null,1,0,1,0,0.008,FAILURE
javamop_avro,null,1,0,1,0,0.001,FAILURE
javamop_avro,null,1,0,0,0,0.041,SUCCESS
javamop_avro,null,26,0,3,0,0.17,FAILURE
javamop_avro,null,26,0,3,0,0.007,FAILURE
javamop_avro,null,34,0,3,0,0.006,FAILURE
javamop_avro,null,192,0,120,0,0.249,FAILURE
javamop_avro,null,1,0,1,0,0.001,FAILURE
javamop_avro,null,10,0,0,0,0.001,SUCCESS
javamop_avro,null,8,0,1,0,0.252,FAILURE
javamop_avro,null,1,0,0,0,0.013,SUCCESS
javamop_avro,null,2,0,0,0,0.656,SUCCESS
javamop_avro,null,3,0,3,0,0.071,FAILURE
javamop_avro,null,1,0,1,0,0.0,FAILURE
javamop_avro,null,20,0,7,0,0.022,FAILURE
javamop_avro,null,11,0,11,0,0.002,FAILURE
javamop_avro,null,35,0,17,0,0.932,FAILURE
javamop_avro,null,1,0,0,0,0.001,SUCCESS
javamop_avro,null,3,0,0,0,0.001,SUCCESS
javamop_avro,null,1,0,1,0,0.001,FAILURE
javamop_avro,null,4,0,4,0,0.039,FAILURE
javamop_avro,null,16,0,1,0,0.101,FAILURE
javamop_avro,null,39,0,15,0,0.467,FAILURE
javamop_avro,null,1,0,1,0,0.001,FAILURE
javamop_avro,null,74,0,25,0,1.781,FAILURE
javamop_avro,null,4,0,4,0,0.001,FAILURE
javamop_avro,null,1,0,1,0,0.001,FAILURE
javamop_avro,null,5,0,5,0,0.001,FAILURE
javamop_avro,null,3,0,0,0,0.002,SUCCESS
javamop_avro,null,13,0,13,0,0.003,FAILURE
javamop_avro,null,15,0,15,0,0.04,FAILURE
