Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
--------------------Execution: 2 -----------------------------------
--------------------Execution: 3 -----------------------------------
--------------------Execution: 4 -----------------------------------
--------------------Execution: 5 -----------------------------------
--------------------Execution: 6 -----------------------------------
--------------------Execution: 7 -----------------------------------
--------------------Execution: 8 -----------------------------------
--------------------Execution: 9 -----------------------------------
--------------------Execution: 10 -----------------------------------
--------------------Execution: 1 -----------------------------------
siesta_avro,null,3,0,0,0,0.242,SUCCESS
siesta_avro,null,17,0,0,0,0.04,SUCCESS
siesta_avro,null,2,0,0,0,0.13,SUCCESS
siesta_avro,null,9,0,0,0,0.342,SUCCESS
siesta_avro,null,74,0,0,0,2.059,SUCCESS
siesta_avro,null,4,0,0,0,0.06,SUCCESS
siesta_avro,null,1,0,0,0,0.043,SUCCESS
siesta_avro,null,15,0,0,0,4.528,SUCCESS
siesta_avro,null,376,0,0,0,15.161,SUCCESS
siesta_avro,null,1,0,0,0,0.008,SUCCESS
siesta_avro,null,816,0,0,0,56.367,SUCCESS
siesta_avro,null,1,0,0,0,0.011,SUCCESS
siesta_avro,null,16,0,0,0,0.01,SUCCESS
siesta_avro,null,2,0,0,0,0.041,SUCCESS
siesta_avro,null,4,0,0,0,0.002,SUCCESS
siesta_avro,null,10,0,0,0,11.513,SUCCESS
siesta_avro,null,1,0,0,0,0.003,SUCCESS
siesta_avro,null,4,0,0,0,0.001,SUCCESS
siesta_avro,null,1,0,0,0,0.0,SUCCESS
siesta_avro,null,3,0,0,0,0.0,SUCCESS
siesta_avro,null,1,0,0,0,0.16,SUCCESS
siesta_avro,null,50,0,0,0,0.41,SUCCESS
siesta_avro,null,52,0,0,0,11.045,SUCCESS
siesta_avro,null,1,0,0,0,0.003,SUCCESS
siesta_avro,null,2,0,0,0,0.001,SUCCESS
siesta_avro,null,11,0,0,0,0.002,SUCCESS
siesta_avro,null,1,0,0,0,0.0,SUCCESS
siesta_avro,null,20,0,0,0,0.155,SUCCESS
siesta_avro,null,5,0,0,0,0.046,SUCCESS
siesta_avro,null,1,0,0,0,0.088,SUCCESS
siesta_avro,null,3,0,0,0,0.005,SUCCESS
siesta_avro,null,17,0,0,0,0.106,SUCCESS
siesta_avro,null,32,0,0,0,0.991,SUCCESS
siesta_avro,null,4,0,0,0,0.001,SUCCESS
siesta_avro,null,5,0,0,0,1.173,SUCCESS
siesta_avro,null,3,0,0,0,0.001,SUCCESS
siesta_avro,null,5,0,0,0,0.011,SUCCESS
siesta_avro,null,3,0,0,0,0.0,SUCCESS
siesta_avro,null,12,0,0,0,1.224,SUCCESS
siesta_avro,null,2,0,0,0,0.0,SUCCESS
siesta_avro,null,35,0,0,0,0.298,SUCCESS
siesta_avro,null,48,0,0,0,0.119,SUCCESS
siesta_avro,null,192,0,0,0,1.646,SUCCESS
siesta_avro,null,2,0,0,0,0.001,SUCCESS
siesta_avro,null,1,0,0,0,0.0,SUCCESS
siesta_avro,null,2,0,0,0,0.001,SUCCESS
siesta_avro,null,84,0,0,0,0.039,SUCCESS
siesta_avro,null,3,0,0,0,0.061,SUCCESS
siesta_avro,null,39,0,0,0,1.3,SUCCESS
siesta_avro,null,33,0,0,0,0.021,SUCCESS
siesta_avro,null,4,0,0,0,0.0,SUCCESS
siesta_avro,null,14,0,0,0,0.008,SUCCESS
siesta_avro,null,2,0,0,0,0.0,SUCCESS
siesta_avro,null,1,0,0,0,0.012,SUCCESS
siesta_avro,null,1,0,0,0,0.006,SUCCESS
siesta_avro,null,16,0,0,0,0.015,SUCCESS
siesta_avro,null,4,0,0,0,0.008,SUCCESS
siesta_avro,null,17,0,0,1,0.189,SUCCESS
siesta_avro,null,2,0,0,0,0.005,SUCCESS
siesta_avro,null,29,0,0,0,0.009,SUCCESS
siesta_avro,null,10,0,0,0,0.001,SUCCESS
siesta_avro,null,8,0,0,0,0.012,SUCCESS
siesta_avro,null,4,0,0,0,0.058,SUCCESS
siesta_avro,null,1,0,0,0,0.023,SUCCESS
siesta_avro,null,13,0,0,0,0.02,SUCCESS
siesta_avro,null,972,0,0,0,5.935,SUCCESS
siesta_avro,null,26,0,0,0,0.026,SUCCESS
siesta_avro,null,26,0,0,0,0.032,SUCCESS
siesta_avro,null,34,0,0,0,0.023,SUCCESS
siesta_avro,null,6,0,0,0,0.281,SUCCESS
siesta_avro,null,2,0,0,0,4.484,SUCCESS
siesta_avro,null,2,0,0,0,8.36,SUCCESS
siesta_avro,null,1,0,0,0,7.845,SUCCESS
siesta_avro,null,5,0,0,0,4.622,SUCCESS
siesta_avro,null,38,0,0,0,25.094,SUCCESS
siesta_avro,null,19,0,0,0,6.074,SUCCESS
siesta_avro,null,2,0,0,0,15.699,SUCCESS
siesta_avro,null,2,0,0,0,3.181,SUCCESS
siesta_avro,null,2,0,0,0,3.28,SUCCESS
siesta_avro,null,5,0,0,0,4.13,SUCCESS
siesta_avro,null,9,0,0,0,5.495,SUCCESS
siesta_avro,null,1,0,0,0,5.201,SUCCESS
siesta_avro,null,11,0,0,0,5.323,SUCCESS
siesta_avro,null,1,0,0,0,5.643,SUCCESS
siesta_avro,null,7,0,0,0,6.513,SUCCESS
siesta_avro,null,1,0,0,0,5.736,SUCCESS
siesta_avro,null,7,0,0,0,5.502,SUCCESS
siesta_avro,null,2,0,0,0,7.142,SUCCESS
siesta_avro,null,6,0,0,0,4.837,SUCCESS
siesta_avro,null,14,0,0,0,6.647,SUCCESS
siesta_avro,null,3,0,0,0,0.018,SUCCESS
siesta_avro,null,9,0,0,0,5.999,SUCCESS
siesta_avro,null,6,0,0,0,0.037,SUCCESS
siesta_avro,null,1,0,0,0,4.96,SUCCESS
siesta_avro,null,14,0,0,0,4.687,SUCCESS
siesta_avro,null,14,0,0,0,6.92,SUCCESS
siesta_avro,null,1,0,0,0,6.098,SUCCESS
