Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_gora,null,2,0,0,0,2.839,SUCCESS
javamop_gora,null,1,0,0,0,1.152,SUCCESS
javamop_gora,null,1,0,0,0,3.955,SUCCESS
javamop_gora,null,6,0,6,0,23.319,FAILURE
javamop_gora,null,2,0,1,0,16.155,FAILURE
javamop_gora,null,1,0,1,0,11.473,FAILURE
javamop_gora,null,12,0,12,0,22.964,FAILURE
javamop_gora,null,12,0,12,0,23.373,FAILURE
javamop_gora,null,1,0,1,0,19.569,FAILURE
javamop_gora,null,1,0,0,0,8.141,SUCCESS
javamop_gora,null,6,0,4,0,10.02,FAILURE
javamop_gora,null,1,0,1,0,14.71,FAILURE
javamop_gora,null,5,0,5,0,23.11,FAILURE
javamop_gora,null,1,0,1,0,9.477,FAILURE
javamop_gora,null,2,0,2,0,19.441,FAILURE
javamop_gora,null,1,0,1,0,21.597,FAILURE
javamop_gora,null,2,0,2,0,20.403,FAILURE
javamop_gora,null,3,0,2,0,20.254,FAILURE
javamop_gora,null,3,0,2,0,19.707,FAILURE
javamop_gora,null,6,0,5,0,22.398,FAILURE
javamop_gora,null,5,0,0,0,9.294,SUCCESS
javamop_gora,null,2,0,0,0,0.497,SUCCESS
javamop_gora,null,1,0,1,0,35.764,FAILURE
javamop_gora,null,32,0,32,0,26.278,FAILURE
javamop_gora,null,2,0,0,0,6.098,SUCCESS
javamop_gora,null,32,0,32,0,9.327,FAILURE
javamop_gora,null,2,0,2,0,20.439,FAILURE
javamop_gora,null,1,0,1,0,13.805,FAILURE
javamop_gora,null,1,0,1,0,14.392,FAILURE
javamop_gora,null,35,0,35,0,12.685,FAILURE
javamop_gora,null,7,0,7,0,11.042,FAILURE
javamop_gora,null,2,0,2,0,13.332,FAILURE
javamop_gora,null,2,0,2,0,13.787,FAILURE
javamop_gora,null,39,0,39,0,13.667,FAILURE
javamop_gora,null,1,0,1,0,12.87,FAILURE
javamop_gora,null,39,0,39,0,13.177,FAILURE
javamop_gora,null,5,0,3,0,6.648,FAILURE
javamop_gora,null,3,0,3,0,3.897,FAILURE
Sum: 551.0560000000002
--------------------Execution: 2 -----------------------------------
javamop_gora,null,2,0,0,0,7.721,SUCCESS
javamop_gora,null,1,0,0,0,3.188,SUCCESS
javamop_gora,null,1,0,0,0,10.201,SUCCESS
javamop_gora,null,6,0,6,0,45.875,FAILURE
javamop_gora,null,2,0,1,0,31.824,FAILURE
javamop_gora,null,1,0,1,0,18.774,FAILURE
javamop_gora,null,12,0,12,0,39.475,FAILURE
javamop_gora,null,12,0,12,0,38.99,FAILURE
javamop_gora,null,1,0,1,0,31.637,FAILURE
javamop_gora,null,1,0,0,0,14.414,SUCCESS
javamop_gora,null,6,0,4,0,19.791,FAILURE
javamop_gora,null,1,0,1,0,26.644,FAILURE
javamop_gora,null,5,0,5,0,36.14,FAILURE
javamop_gora,null,1,0,1,0,19.821,FAILURE
javamop_gora,null,2,0,2,0,39.371,FAILURE
javamop_gora,null,1,0,1,0,37.254,FAILURE
javamop_gora,null,2,0,2,0,25.902,FAILURE
javamop_gora,null,3,0,2,0,24.469,FAILURE
javamop_gora,null,3,0,2,0,25.962,FAILURE
javamop_gora,null,6,0,5,0,24.473,FAILURE
javamop_gora,null,5,0,0,0,12.163,SUCCESS
javamop_gora,null,2,0,0,0,0.745,SUCCESS
javamop_gora,null,1,0,1,0,43.485,FAILURE
javamop_gora,null,32,0,32,0,31.199,FAILURE
javamop_gora,null,2,0,0,0,9.149,SUCCESS
javamop_gora,null,32,0,32,0,12.961,FAILURE
javamop_gora,null,2,0,2,0,25.495,FAILURE
javamop_gora,null,1,0,1,0,16.574,FAILURE
javamop_gora,null,1,0,1,0,17.02,FAILURE
javamop_gora,null,35,0,35,0,16.941,FAILURE
javamop_gora,null,7,0,7,0,13.526,FAILURE
javamop_gora,null,2,0,2,0,16.899,FAILURE
javamop_gora,null,2,0,2,0,17.68,FAILURE
javamop_gora,null,39,0,39,0,16.885,FAILURE
javamop_gora,null,1,0,1,0,17.109,FAILURE
javamop_gora,null,39,0,39,0,17.216,FAILURE
javamop_gora,null,5,0,3,0,8.126,FAILURE
javamop_gora,null,3,0,3,0,4.307,FAILURE
Sum: 819.4059999999998
--------------------Execution: 3 -----------------------------------
javamop_gora,null,2,0,0,0,4.343,SUCCESS
javamop_gora,null,1,0,0,0,1.449,SUCCESS
javamop_gora,null,1,0,0,0,5.459,SUCCESS
javamop_gora,null,6,0,6,0,35.738,FAILURE
javamop_gora,null,2,0,1,0,19.401,FAILURE
javamop_gora,null,1,0,1,0,12.872,FAILURE
javamop_gora,null,12,0,12,0,26.87,FAILURE
javamop_gora,null,12,0,12,0,27.02,FAILURE
javamop_gora,null,1,0,1,0,20.943,FAILURE
javamop_gora,null,1,0,0,0,11.066,SUCCESS
javamop_gora,null,6,0,4,0,12.98,FAILURE
javamop_gora,null,1,0,1,0,16.511,FAILURE
javamop_gora,null,5,0,5,0,25.703,FAILURE
javamop_gora,null,1,0,1,0,11.058,FAILURE
javamop_gora,null,2,0,2,0,21.411,FAILURE
javamop_gora,null,1,0,1,0,22.273,FAILURE
javamop_gora,null,2,0,2,0,23.481,FAILURE
javamop_gora,null,3,0,2,0,22.49,FAILURE
javamop_gora,null,3,0,2,0,23.346,FAILURE
javamop_gora,null,6,0,5,0,24.349,FAILURE
javamop_gora,null,5,0,0,0,10.422,SUCCESS
javamop_gora,null,2,0,0,0,0.592,SUCCESS
javamop_gora,null,1,0,1,0,42.902,FAILURE
javamop_gora,null,32,0,32,0,29.488,FAILURE
javamop_gora,null,2,0,0,0,8.383,SUCCESS
javamop_gora,null,32,0,32,0,12.821,FAILURE
javamop_gora,null,2,0,2,0,27.279,FAILURE
javamop_gora,null,1,0,1,0,18.183,FAILURE
