Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_jboss-dmr,null,17,0,0,0,2.176,SUCCESS
javamop_jboss-dmr,null,16,0,0,0,0.045,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.757,SUCCESS
javamop_jboss-dmr,null,27,0,0,0,0.449,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.076,SUCCESS
javamop_jboss-dmr,null,6,0,0,0,0.003,SUCCESS
javamop_jboss-dmr,null,7,0,0,0,1.178,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.582,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.056,SUCCESS
javamop_jboss-dmr,null,40,0,0,0,0.826,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,1.108,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.185,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.009,SUCCESS
javamop_jboss-dmr,null,17,0,0,0,1.518,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.07,SUCCESS
javamop_jboss-dmr,null,5,0,0,0,0.0,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.008,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.227,SUCCESS
javamop_jboss-dmr,null,13531,11,1,0,161.312,FAILURE
javamop_jboss-dmr,null,6,0,0,0,1.486,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.288,SUCCESS
Sum: 172.359
--------------------Execution: 2 -----------------------------------
javamop_jboss-dmr,null,17,0,0,0,1.567,SUCCESS
javamop_jboss-dmr,null,16,0,0,0,0.026,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.441,SUCCESS
javamop_jboss-dmr,null,27,0,0,0,0.34,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.064,SUCCESS
javamop_jboss-dmr,null,6,0,0,0,0.0,SUCCESS
javamop_jboss-dmr,null,7,0,0,0,0.749,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.244,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.045,SUCCESS
javamop_jboss-dmr,null,40,0,0,0,0.488,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.786,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.119,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.006,SUCCESS
javamop_jboss-dmr,null,17,0,0,0,0.976,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.054,SUCCESS
javamop_jboss-dmr,null,5,0,0,0,0.001,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.004,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.174,SUCCESS
javamop_jboss-dmr,null,13531,11,1,0,158.482,FAILURE
javamop_jboss-dmr,null,6,0,0,0,0.963,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.226,SUCCESS
Sum: 165.754999999999999
--------------------Execution: 3 -----------------------------------
javamop_jboss-dmr,null,17,0,0,0,1.541,SUCCESS
javamop_jboss-dmr,null,16,0,0,0,0.02,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.438,SUCCESS
javamop_jboss-dmr,null,27,0,0,0,0.332,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.04,SUCCESS
javamop_jboss-dmr,null,6,0,0,0,0.001,SUCCESS
javamop_jboss-dmr,null,7,0,0,0,0.841,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.309,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.051,SUCCESS
javamop_jboss-dmr,null,40,0,0,0,0.653,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.814,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.125,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.006,SUCCESS
javamop_jboss-dmr,null,17,0,0,0,1.012,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.049,SUCCESS
javamop_jboss-dmr,null,5,0,0,0,0.0,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.009,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.166,SUCCESS
javamop_jboss-dmr,null,13531,11,1,0,158.145,FAILURE
javamop_jboss-dmr,null,6,0,0,0,1.027,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.208,SUCCESS
Sum: 165.787000000000003
--------------------Execution: 4 -----------------------------------
javamop_jboss-dmr,null,17,0,0,0,1.658,SUCCESS
javamop_jboss-dmr,null,16,0,0,0,0.002,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.557,SUCCESS
javamop_jboss-dmr,null,27,0,0,0,0.336,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.067,SUCCESS
javamop_jboss-dmr,null,6,0,0,0,0.006,SUCCESS
javamop_jboss-dmr,null,7,0,0,0,0.853,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.309,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.044,SUCCESS
javamop_jboss-dmr,null,40,0,0,0,0.54,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.875,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.142,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.007,SUCCESS
javamop_jboss-dmr,null,17,0,0,0,0.966,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.048,SUCCESS
javamop_jboss-dmr,null,5,0,0,0,0.001,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.005,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.174,SUCCESS
javamop_jboss-dmr,null,13531,11,1,0,158.23,FAILURE
javamop_jboss-dmr,null,6,0,0,0,1.08,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.257,SUCCESS
Sum: 166.157
--------------------Execution: 5 -----------------------------------
javamop_jboss-dmr,null,17,0,0,0,1.58,SUCCESS
javamop_jboss-dmr,null,16,0,0,0,0.03,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.483,SUCCESS
javamop_jboss-dmr,null,27,0,0,0,0.354,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.081,SUCCESS
javamop_jboss-dmr,null,6,0,0,0,0.001,SUCCESS
javamop_jboss-dmr,null,7,0,0,0,0.897,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.337,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.044,SUCCESS
javamop_jboss-dmr,null,40,0,0,0,0.659,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.827,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.146,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.005,SUCCESS
javamop_jboss-dmr,null,17,0,0,0,1.114,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.054,SUCCESS
javamop_jboss-dmr,null,5,0,0,0,0.0,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.0,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.186,SUCCESS
javamop_jboss-dmr,null,13531,11,1,0,158.465,FAILURE
javamop_jboss-dmr,null,6,0,0,0,1.103,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.208,SUCCESS
Sum: 166.573999999999998
--------------------Execution: 6 -----------------------------------
javamop_jboss-dmr,null,17,0,0,0,1.589,SUCCESS
javamop_jboss-dmr,null,16,0,0,0,0.027,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.511,SUCCESS
javamop_jboss-dmr,null,27,0,0,0,0.358,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.045,SUCCESS
javamop_jboss-dmr,null,6,0,0,0,0.003,SUCCESS
javamop_jboss-dmr,null,7,0,0,0,0.863,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.319,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.072,SUCCESS
javamop_jboss-dmr,null,40,0,0,0,0.642,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.775,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.124,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.007,SUCCESS
javamop_jboss-dmr,null,17,0,0,0,1.014,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.055,SUCCESS
javamop_jboss-dmr,null,5,0,0,0,0.001,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.002,SUCCESS
javamop_jboss-dmr,null,24,0,0,0,0.173,SUCCESS
javamop_jboss-dmr,null,13531,11,1,0,158.499,FAILURE
javamop_jboss-dmr,null,6,0,0,0,1.064,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.225,SUCCESS
Sum: 166.368000000000002
--------------------Execution: 7 -----------------------------------
javamop_jboss-dmr,null,17,0,0,0,1.586,SUCCESS
javamop_jboss-dmr,null,16,0,0,0,0.022,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.623,SUCCESS
javamop_jboss-dmr,null,27,0,0,0,0.347,SUCCESS
javamop_jboss-dmr,null,19,0,0,0,0.031,SUCCESS
javamop_jboss-dmr,null,6,0,0,0,0.017,SUCCESS
javamop_jboss-dmr,null,7,0,0,0,0.875,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.314,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.04,SUCCESS
javamop_jboss-dmr,null,40,0,0,0,0.538,SUCCESS
javamop_jboss-dmr,null,14,0,0,0,0.818,SUCCESS
javamop_jboss-dmr,null,21,0,0,0,0.137,SUCCESS
javamop_jboss-dmr,null,10,0,0,0,0.005,SUCCESS
