Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
siesta_jboss-dmr,null,17,0,0,0,0.276,SUCCESS
siesta_jboss-dmr,null,16,0,0,0,0.003,SUCCESS
siesta_jboss-dmr,null,19,0,0,0,0.069,SUCCESS
siesta_jboss-dmr,null,27,0,0,0,0.563,SUCCESS
siesta_jboss-dmr,null,19,0,0,0,0.012,SUCCESS
siesta_jboss-dmr,null,6,0,0,0,0.002,SUCCESS
siesta_jboss-dmr,null,7,0,0,0,0.038,SUCCESS
siesta_jboss-dmr,null,21,0,0,0,0.409,SUCCESS
siesta_jboss-dmr,null,10,0,0,0,0.037,SUCCESS
siesta_jboss-dmr,null,40,0,0,0,0.416,SUCCESS
siesta_jboss-dmr,null,14,0,0,0,1.783,SUCCESS
siesta_jboss-dmr,null,21,0,0,0,0.093,SUCCESS
siesta_jboss-dmr,null,10,0,0,0,0.004,SUCCESS
siesta_jboss-dmr,null,17,0,0,0,4.441,SUCCESS
siesta_jboss-dmr,null,24,0,0,0,0.047,SUCCESS
siesta_jboss-dmr,null,5,0,0,0,0.0,SUCCESS
siesta_jboss-dmr,null,19,0,0,0,0.003,SUCCESS
siesta_jboss-dmr,null,24,0,0,0,0.06,SUCCESS
siesta_jboss-dmr,null,13531,11,5,0,76.182,FAILURE
siesta_jboss-dmr,null,6,0,0,0,0.044,SUCCESS
siesta_jboss-dmr,null,14,0,0,0,0.051,SUCCESS
siesta_jboss-dmr,null,8,0,0,0,50.971,SUCCESS
siesta_jboss-dmr,null,23,0,0,0,0.025,SUCCESS
siesta_jboss-dmr,null,2,0,0,0,0.0,SUCCESS
siesta_jboss-dmr,null,17,0,0,0,0.001,SUCCESS
siesta_jboss-dmr,null,18,0,0,0,0.001,SUCCESS
siesta_jboss-dmr,null,10,0,0,0,0.0,SUCCESS
siesta_jboss-dmr,null,17,0,0,0,0.001,SUCCESS
siesta_jboss-dmr,null,1,0,0,0,0.0,SUCCESS
Sum: 135.532
--------------------Execution: 2 -----------------------------------
siesta_jboss-dmr,null,17,0,0,0,0.262,SUCCESS
siesta_jboss-dmr,null,16,0,0,0,0.002,SUCCESS
siesta_jboss-dmr,null,19,0,0,0,0.06,SUCCESS
siesta_jboss-dmr,null,27,0,0,0,0.514,SUCCESS
siesta_jboss-dmr,null,19,0,0,0,0.003,SUCCESS
siesta_jboss-dmr,null,6,0,0,0,0.003,SUCCESS
siesta_jboss-dmr,null,7,0,0,0,0.035,SUCCESS
siesta_jboss-dmr,null,21,0,0,0,0.497,SUCCESS
siesta_jboss-dmr,null,10,0,0,0,0.025,SUCCESS
siesta_jboss-dmr,null,40,0,0,0,0.469,SUCCESS
siesta_jboss-dmr,null,14,0,0,0,1.232,SUCCESS
siesta_jboss-dmr,null,21,0,0,0,0.084,SUCCESS
siesta_jboss-dmr,null,10,0,0,0,0.001,SUCCESS
siesta_jboss-dmr,null,17,0,0,0,3.884,SUCCESS
siesta_jboss-dmr,null,24,0,0,0,0.049,SUCCESS
siesta_jboss-dmr,null,5,0,0,0,0.001,SUCCESS
siesta_jboss-dmr,null,19,0,0,0,0.003,SUCCESS
siesta_jboss-dmr,null,24,0,0,0,0.106,SUCCESS
siesta_jboss-dmr,null,13531,11,5,0,86.473,FAILURE
siesta_jboss-dmr,null,6,0,0,0,0.046,SUCCESS
siesta_jboss-dmr,null,14,0,0,0,0.199,SUCCESS
siesta_jboss-dmr,null,8,0,0,0,51.894,SUCCESS
siesta_jboss-dmr,null,23,0,0,0,0.025,SUCCESS
siesta_jboss-dmr,null,2,0,0,0,0.0,SUCCESS
siesta_jboss-dmr,null,17,0,0,0,0.001,SUCCESS
