Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_jnr-posix,null,2,0,0,0,45.395,SUCCESS
javamop_jnr-posix,null,5,0,0,0,46.913,SUCCESS
javamop_jnr-posix,null,1,0,0,0,4.639,SUCCESS
javamop_jnr-posix,null,4,0,0,0,12.735,SUCCESS
javamop_jnr-posix,null,1,0,0,0,42.048,SUCCESS
javamop_jnr-posix,null,1,0,0,0,40.369,SUCCESS
javamop_jnr-posix,null,9,0,0,0,43.711,SUCCESS
javamop_jnr-posix,null,3,0,0,0,37.31,SUCCESS
javamop_jnr-posix,null,2,0,0,0,40.139,SUCCESS
javamop_jnr-posix,null,2,0,0,0,2.932,SUCCESS
javamop_jnr-posix,null,1,0,0,0,37.354,SUCCESS
javamop_jnr-posix,null,1,0,0,0,11.704,SUCCESS
javamop_jnr-posix,null,2,0,0,0,34.832,SUCCESS
javamop_jnr-posix,null,3,0,0,0,34.649,SUCCESS
javamop_jnr-posix,null,4,0,0,0,4.642,SUCCESS
javamop_jnr-posix,null,6262,0,0,0,326.369,SUCCESS
Sum: 765.741
--------------------Execution: 2 -----------------------------------
javamop_jnr-posix,null,2,0,0,0,31.969,SUCCESS
javamop_jnr-posix,null,5,0,0,0,32.829,SUCCESS
javamop_jnr-posix,null,1,0,0,0,4.313,SUCCESS
javamop_jnr-posix,null,4,0,0,0,11.537,SUCCESS
javamop_jnr-posix,null,1,0,0,0,39.076,SUCCESS
javamop_jnr-posix,null,1,0,0,0,35.845,SUCCESS
javamop_jnr-posix,null,9,0,0,0,36.841,SUCCESS
javamop_jnr-posix,null,3,0,0,0,35.598,SUCCESS
javamop_jnr-posix,null,2,0,0,0,36.081,SUCCESS
javamop_jnr-posix,null,2,0,0,0,2.971,SUCCESS
javamop_jnr-posix,null,1,0,0,0,37.677,SUCCESS
javamop_jnr-posix,null,1,0,0,0,11.625,SUCCESS
javamop_jnr-posix,null,2,0,0,0,33.268,SUCCESS
javamop_jnr-posix,null,3,0,0,0,32.498,SUCCESS
javamop_jnr-posix,null,4,0,0,0,4.372,SUCCESS
javamop_jnr-posix,null,6262,0,0,0,334.583,SUCCESS
Sum: 721.0830000000001
--------------------Execution: 3 -----------------------------------
javamop_jnr-posix,null,2,0,0,0,32.148,SUCCESS
javamop_jnr-posix,null,5,0,0,0,33.04,SUCCESS
javamop_jnr-posix,null,1,0,0,0,4.705,SUCCESS
javamop_jnr-posix,null,4,0,0,0,10.6,SUCCESS
javamop_jnr-posix,null,1,0,0,0,36.871,SUCCESS
