Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
siesta_jnr-posix,null,2,0,0,0,9.709,SUCCESS
siesta_jnr-posix,null,5,0,0,0,11.058,SUCCESS
siesta_jnr-posix,null,1,0,0,0,1.435,SUCCESS
siesta_jnr-posix,null,1,0,0,0,9.393,SUCCESS
siesta_jnr-posix,null,4,0,0,0,4.089,SUCCESS
siesta_jnr-posix,null,1,0,0,0,8.052,SUCCESS
siesta_jnr-posix,null,9,0,0,0,9.555,SUCCESS
siesta_jnr-posix,null,3,0,0,0,7.174,SUCCESS
siesta_jnr-posix,null,2,0,0,0,6.189,SUCCESS
siesta_jnr-posix,null,2,0,0,0,1.171,SUCCESS
siesta_jnr-posix,null,1,0,0,0,6.636,SUCCESS
siesta_jnr-posix,null,1,0,0,0,3.182,SUCCESS
siesta_jnr-posix,null,2,0,0,0,7.031,SUCCESS
siesta_jnr-posix,null,3,0,0,0,5.791,SUCCESS
siesta_jnr-posix,null,4,0,0,0,1.299,SUCCESS
siesta_jnr-posix,null,6262,0,0,0,46.547,SUCCESS
Sum: 138.311
--------------------Execution: 2 -----------------------------------
siesta_jnr-posix,null,2,0,0,0,7.576,SUCCESS
siesta_jnr-posix,null,5,0,0,0,7.615,SUCCESS
siesta_jnr-posix,null,1,0,0,0,1.493,SUCCESS
siesta_jnr-posix,null,1,0,0,0,6.815,SUCCESS
siesta_jnr-posix,null,4,0,0,0,2.911,SUCCESS
siesta_jnr-posix,null,1,0,0,0,7.885,SUCCESS
siesta_jnr-posix,null,9,0,0,0,9.054,SUCCESS
siesta_jnr-posix,null,3,0,0,0,7.144,SUCCESS
siesta_jnr-posix,null,2,0,0,0,6.978,SUCCESS
siesta_jnr-posix,null,2,0,0,0,1.151,SUCCESS
siesta_jnr-posix,null,1,0,0,0,6.03,SUCCESS
siesta_jnr-posix,null,1,0,0,0,4.176,SUCCESS
siesta_jnr-posix,null,2,0,0,0,7.003,SUCCESS
siesta_jnr-posix,null,3,0,0,0,7.947,SUCCESS
siesta_jnr-posix,null,4,0,0,0,1.195,SUCCESS
siesta_jnr-posix,null,6262,0,0,0,45.931,SUCCESS
Sum: 130.904
--------------------Execution: 3 -----------------------------------
siesta_jnr-posix,null,5,0,0,0,8.485,SUCCESS
siesta_jnr-posix,null,2,0,0,0,8.91,SUCCESS
siesta_jnr-posix,null,1,0,0,0,1.805,SUCCESS
siesta_jnr-posix,null,1,0,0,0,9.49,SUCCESS
siesta_jnr-posix,null,4,0,0,0,3.738,SUCCESS
siesta_jnr-posix,null,1,0,0,0,9.703,SUCCESS
siesta_jnr-posix,null,9,0,0,0,11.37,SUCCESS
siesta_jnr-posix,null,3,0,0,0,8.736,SUCCESS
siesta_jnr-posix,null,2,0,0,0,9.327,SUCCESS
