Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_jsoup-learning,org.jsoup.parser.AttributeParseTest,6,0,0,0,8.745,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.TagTest,9,0,0,0,0.002,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.XmlTreeBuilderTest,9,0,0,1,0.131,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.HtmlParserTest,87,0,0,0,0.264,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.RegressionTest,2193,0,0,0,2.782,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.CharacterReaderTest,16,0,0,0,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.TokenQueueTest,6,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.select.ElementsTest,28,0,0,0,0.118,SUCCESS
javamop_jsoup-learning,org.jsoup.select.QueryParserTest,2,0,0,0,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.select.CssTest,16,0,0,0,4.651,SUCCESS
javamop_jsoup-learning,org.jsoup.select.SelectorTest,48,0,0,0,0.14,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.DataUtilTest,3,0,0,0,0.01,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.StringUtilTest,8,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.HttpConnectionTest,15,0,0,0,0.844,SUCCESS
javamop_jsoup-learning,org.jsoup.safety.CleanerTest,22,0,0,0,0.717,SUCCESS
javamop_jsoup-learning,org.jsoup.integration.ParseTest,10,0,0,0,5.066,SUCCESS
javamop_jsoup-learning,org.jsoup.integration.UrlConnectTest,1,0,0,1,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.TextNodeTest,5,0,0,0,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.DocumentTest,7,0,0,0,0.006,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.FormElementTest,7,0,0,0,0.006,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.EntitiesTest,8,0,0,0,0.025,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.AttributeTest,2,0,0,0,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.AttributesTest,1,0,0,0,0.158,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.NodeTest,21,0,0,0,0.045,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.ElementTest,57,0,0,0,0.062,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.DocumentTypeTest,4,0,0,0,0.001,SUCCESS
Sum: 23.775000000000006
--------------------Execution: 2 -----------------------------------
javamop_jsoup-learning,org.jsoup.parser.AttributeParseTest,6,0,0,0,8.494,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.TagTest,9,0,0,0,0.002,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.XmlTreeBuilderTest,9,0,0,1,0.125,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.HtmlParserTest,87,0,0,0,0.257,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.RegressionTest,2193,0,0,0,2.773,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.CharacterReaderTest,16,0,0,0,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.TokenQueueTest,6,0,0,0,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.select.ElementsTest,28,0,0,0,0.106,SUCCESS
javamop_jsoup-learning,org.jsoup.select.QueryParserTest,2,0,0,0,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.select.CssTest,16,0,0,0,4.746,SUCCESS
javamop_jsoup-learning,org.jsoup.select.SelectorTest,48,0,0,0,0.115,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.DataUtilTest,3,0,0,0,0.007,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.StringUtilTest,8,0,0,0,0.002,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.HttpConnectionTest,15,0,0,0,0.74,SUCCESS
javamop_jsoup-learning,org.jsoup.safety.CleanerTest,22,0,0,0,0.634,SUCCESS
javamop_jsoup-learning,org.jsoup.integration.ParseTest,10,0,0,0,5.082,SUCCESS
javamop_jsoup-learning,org.jsoup.integration.UrlConnectTest,1,0,0,1,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.TextNodeTest,5,0,0,0,0.003,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.DocumentTest,7,0,0,0,0.012,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.FormElementTest,7,0,0,0,0.005,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.EntitiesTest,8,0,0,0,0.024,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.AttributeTest,2,0,0,0,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.AttributesTest,1,0,0,0,0.167,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.NodeTest,21,0,0,0,0.045,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.ElementTest,57,0,0,0,0.057,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.DocumentTypeTest,4,0,0,0,0.0,SUCCESS
Sum: 23.396
--------------------Execution: 3 -----------------------------------
javamop_jsoup-learning,org.jsoup.parser.AttributeParseTest,6,0,0,0,9.018,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.TagTest,9,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.XmlTreeBuilderTest,9,0,0,1,0.126,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.HtmlParserTest,87,0,0,0,0.282,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.RegressionTest,2193,0,0,0,3.093,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.CharacterReaderTest,16,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.TokenQueueTest,6,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.select.ElementsTest,28,0,0,0,0.165,SUCCESS
javamop_jsoup-learning,org.jsoup.select.QueryParserTest,2,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.select.CssTest,16,0,0,0,4.562,SUCCESS
javamop_jsoup-learning,org.jsoup.select.SelectorTest,48,0,0,0,0.113,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.DataUtilTest,3,0,0,0,0.012,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.StringUtilTest,8,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.helper.HttpConnectionTest,15,0,0,0,0.797,SUCCESS
javamop_jsoup-learning,org.jsoup.safety.CleanerTest,22,0,0,0,0.669,SUCCESS
javamop_jsoup-learning,org.jsoup.integration.ParseTest,10,0,0,0,5.272,SUCCESS
javamop_jsoup-learning,org.jsoup.integration.UrlConnectTest,1,0,0,1,0.0,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.TextNodeTest,5,0,0,0,0.002,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.DocumentTest,7,0,0,0,0.02,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.FormElementTest,7,0,0,0,0.003,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.EntitiesTest,8,0,0,0,0.028,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.AttributeTest,2,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.AttributesTest,1,0,0,0,0.188,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.NodeTest,21,0,0,0,0.069,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.ElementTest,57,0,0,0,0.058,SUCCESS
javamop_jsoup-learning,org.jsoup.nodes.DocumentTypeTest,4,0,0,0,0.0,SUCCESS
Sum: 24.482999999999993
--------------------Execution: 4 -----------------------------------
javamop_jsoup-learning,org.jsoup.parser.AttributeParseTest,6,0,0,0,8.21,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.TagTest,9,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.XmlTreeBuilderTest,9,0,0,1,0.132,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.HtmlParserTest,87,0,0,0,0.287,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.RegressionTest,2193,0,0,0,2.666,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.CharacterReaderTest,16,0,0,0,0.001,SUCCESS
javamop_jsoup-learning,org.jsoup.parser.TokenQueueTest,6,0,0,0,0.0,SUCCESS
