Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
siesta_jsoup-learning,org.jsoup.parser.AttributeParseTest,6,0,0,0,1.083,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.TagTest,9,0,0,0,0.002,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.XmlTreeBuilderTest,9,0,0,1,0.181,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.HtmlParserTest,87,0,0,0,1.471,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.RegressionTest,2193,0,0,0,2.28,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.CharacterReaderTest,16,0,0,0,0.0,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.TokenQueueTest,6,0,0,0,0.0,SUCCESS
siesta_jsoup-learning,org.jsoup.select.ElementsTest,28,0,0,0,0.447,SUCCESS
siesta_jsoup-learning,org.jsoup.select.QueryParserTest,2,0,0,0,0.0,SUCCESS
siesta_jsoup-learning,org.jsoup.select.CssTest,16,0,0,0,2.405,SUCCESS
siesta_jsoup-learning,org.jsoup.select.SelectorTest,48,0,0,0,0.618,SUCCESS
siesta_jsoup-learning,org.jsoup.helper.DataUtilTest,3,0,0,0,0.0,SUCCESS
siesta_jsoup-learning,org.jsoup.helper.StringUtilTest,8,0,0,0,0.005,SUCCESS
siesta_jsoup-learning,org.jsoup.helper.HttpConnectionTest,15,0,0,0,0.007,SUCCESS
siesta_jsoup-learning,org.jsoup.safety.CleanerTest,22,0,0,0,0.2,SUCCESS
siesta_jsoup-learning,org.jsoup.integration.ParseTest,10,0,0,0,22.2,SUCCESS
siesta_jsoup-learning,org.jsoup.integration.UrlConnectTest,1,0,0,1,0.0,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.TextNodeTest,5,0,0,0,0.006,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.DocumentTest,7,0,0,0,0.014,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.FormElementTest,7,0,0,0,0.001,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.EntitiesTest,8,0,0,0,0.007,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.AttributeTest,2,0,0,0,0.001,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.AttributesTest,1,0,0,0,0.002,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.NodeTest,21,0,0,0,0.021,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.ElementTest,57,0,0,0,0.567,SUCCESS
siesta_jsoup-learning,org.jsoup.nodes.DocumentTypeTest,4,0,0,0,0.0,SUCCESS
Sum: 31.518000000000004
--------------------Execution: 2 -----------------------------------
siesta_jsoup-learning,org.jsoup.parser.AttributeParseTest,6,0,0,0,1.578,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.TagTest,9,0,0,0,0.003,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.XmlTreeBuilderTest,9,0,0,1,0.414,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.HtmlParserTest,87,0,0,0,2.049,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.RegressionTest,2193,0,0,0,4.179,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.CharacterReaderTest,16,0,0,0,0.003,SUCCESS
siesta_jsoup-learning,org.jsoup.parser.TokenQueueTest,6,0,0,0,0.001,SUCCESS
