Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
siesta_kornakapi,null,39707,12,9,0,25.14,FAILURE
siesta_kornakapi,org.plista.kornakapi.RegressionTest9,N/A,N/A,1,N/A,0.003,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest13,N/A,N/A,1,N/A,0.002,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest16,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest20,N/A,N/A,1,N/A,0.002,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest26,N/A,N/A,1,N/A,0.0,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest33,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest45,N/A,N/A,1,N/A,0.0,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest57,N/A,N/A,1,N/A,0.002,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest66,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.core.config.ConfigurationTest,2,0,0,0,0.015,SUCCESS
Sum: 25.167
--------------------Execution: 2 -----------------------------------
siesta_kornakapi,null,39707,12,9,0,18.3,FAILURE
siesta_kornakapi,org.plista.kornakapi.RegressionTest9,N/A,N/A,1,N/A,0.0,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest13,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest16,N/A,N/A,1,N/A,0.0,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest20,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest26,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest33,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest45,N/A,N/A,1,N/A,0.0,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest57,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.RegressionTest66,N/A,N/A,1,N/A,0.001,ERROR
siesta_kornakapi,org.plista.kornakapi.core.config.ConfigurationTest,2,0,0,0,0.014,SUCCESS
Sum: 18.320000000000007
--------------------Execution: 3 -----------------------------------
