Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
siesta_og,null,14,0,0,0,8.514,SUCCESS
siesta_og,null,500,0,0,0,0.077,SUCCESS
siesta_og,null,500,0,0,0,0.074,SUCCESS
siesta_og,null,500,0,0,0,0.043,SUCCESS
siesta_og,null,500,0,0,0,0.037,SUCCESS
siesta_og,null,500,0,0,0,0.04,SUCCESS
siesta_og,null,500,0,0,0,0.045,SUCCESS
siesta_og,null,500,0,0,0,0.039,SUCCESS
siesta_og,null,500,0,0,0,0.031,SUCCESS
siesta_og,null,500,0,0,0,0.037,SUCCESS
siesta_og,null,500,0,0,0,0.034,SUCCESS
siesta_og,null,500,0,0,0,0.019,SUCCESS
siesta_og,null,500,0,0,0,0.043,SUCCESS
siesta_og,null,500,0,0,0,0.051,SUCCESS
siesta_og,null,500,0,0,0,0.038,SUCCESS
siesta_og,null,500,0,0,0,0.054,SUCCESS
siesta_og,null,500,0,0,0,0.053,SUCCESS
siesta_og,null,500,0,0,0,0.051,SUCCESS
siesta_og,null,500,0,0,0,0.072,SUCCESS
siesta_og,null,500,0,0,0,0.027,SUCCESS
siesta_og,null,500,0,0,0,0.025,SUCCESS
siesta_og,null,500,0,0,0,0.026,SUCCESS
siesta_og,null,500,0,0,0,0.034,SUCCESS
siesta_og,null,500,0,0,0,0.022,SUCCESS
siesta_og,null,500,0,0,0,0.044,SUCCESS
siesta_og,null,500,0,0,0,0.02,SUCCESS
siesta_og,null,500,0,0,0,0.036,SUCCESS
siesta_og,null,500,0,0,0,0.022,SUCCESS
siesta_og,null,424,0,0,0,0.022,SUCCESS
Sum: 9.63
--------------------Execution: 2 -----------------------------------
siesta_og,null,14,0,0,0,7.171,SUCCESS
siesta_og,null,500,0,0,0,0.066,SUCCESS
siesta_og,null,500,0,0,0,0.054,SUCCESS
siesta_og,null,500,0,0,0,0.052,SUCCESS
siesta_og,null,500,0,0,0,0.054,SUCCESS
siesta_og,null,500,0,0,0,0.045,SUCCESS
siesta_og,null,500,0,0,0,0.024,SUCCESS
siesta_og,null,500,0,0,0,0.036,SUCCESS
siesta_og,null,500,0,0,0,0.044,SUCCESS
siesta_og,null,500,0,0,0,0.039,SUCCESS
siesta_og,null,500,0,0,0,0.022,SUCCESS
siesta_og,null,500,0,0,0,0.022,SUCCESS
siesta_og,null,500,0,0,0,0.025,SUCCESS
siesta_og,null,500,0,0,0,0.036,SUCCESS
siesta_og,null,500,0,0,0,0.045,SUCCESS
siesta_og,null,500,0,0,0,0.029,SUCCESS
siesta_og,null,500,0,0,0,0.022,SUCCESS
siesta_og,null,500,0,0,0,0.039,SUCCESS
siesta_og,null,500,0,0,0,0.065,SUCCESS
siesta_og,null,500,0,0,0,0.072,SUCCESS
siesta_og,null,500,0,0,0,0.053,SUCCESS
siesta_og,null,500,0,0,0,0.019,SUCCESS
siesta_og,null,500,0,0,0,0.026,SUCCESS
siesta_og,null,500,0,0,0,0.015,SUCCESS
siesta_og,null,500,0,0,0,0.019,SUCCESS
siesta_og,null,500,0,0,0,0.018,SUCCESS
siesta_og,null,500,0,0,0,0.018,SUCCESS
siesta_og,null,500,0,0,0,0.015,SUCCESS
siesta_og,null,424,0,0,0,0.016,SUCCESS
Sum: 8.161000000000003
--------------------Execution: 3 -----------------------------------
siesta_og,null,14,0,0,0,7.821,SUCCESS
siesta_og,null,500,0,0,0,0.089,SUCCESS
siesta_og,null,500,0,0,0,0.072,SUCCESS
siesta_og,null,500,0,0,0,0.07,SUCCESS
siesta_og,null,500,0,0,0,0.047,SUCCESS
siesta_og,null,500,0,0,0,0.028,SUCCESS
siesta_og,null,500,0,0,0,0.03,SUCCESS
siesta_og,null,500,0,0,0,0.048,SUCCESS
siesta_og,null,500,0,0,0,0.044,SUCCESS
siesta_og,null,500,0,0,0,0.051,SUCCESS
siesta_og,null,500,0,0,0,0.036,SUCCESS
siesta_og,null,500,0,0,0,0.047,SUCCESS
siesta_og,null,500,0,0,0,0.045,SUCCESS
siesta_og,null,500,0,0,0,0.028,SUCCESS
siesta_og,null,500,0,0,0,0.037,SUCCESS
siesta_og,null,500,0,0,0,0.061,SUCCESS
siesta_og,null,500,0,0,0,0.075,SUCCESS
siesta_og,null,500,0,0,0,0.072,SUCCESS
siesta_og,null,500,0,0,0,0.053,SUCCESS
siesta_og,null,500,0,0,0,0.047,SUCCESS
siesta_og,null,500,0,0,0,0.028,SUCCESS
siesta_og,null,500,0,0,0,0.042,SUCCESS
siesta_og,null,500,0,0,0,0.023,SUCCESS
siesta_og,null,500,0,0,0,0.02,SUCCESS
siesta_og,null,500,0,0,0,0.021,SUCCESS
siesta_og,null,500,0,0,0,0.022,SUCCESS
siesta_og,null,500,0,0,0,0.017,SUCCESS
siesta_og,null,500,0,0,0,0.023,SUCCESS
siesta_og,null,424,0,0,0,0.017,SUCCESS
Sum: 9.014000000000001
--------------------Execution: 4 -----------------------------------
siesta_og,null,14,0,0,0,9.15,SUCCESS
siesta_og,null,500,0,0,0,0.077,SUCCESS
siesta_og,null,500,0,0,0,0.082,SUCCESS
siesta_og,null,500,0,0,0,0.07,SUCCESS
siesta_og,null,500,0,0,0,0.03,SUCCESS
siesta_og,null,500,0,0,0,0.038,SUCCESS
siesta_og,null,500,0,0,0,0.04,SUCCESS
siesta_og,null,500,0,0,0,0.039,SUCCESS
siesta_og,null,500,0,0,0,0.039,SUCCESS
siesta_og,null,500,0,0,0,0.036,SUCCESS
siesta_og,null,500,0,0,0,0.037,SUCCESS
siesta_og,null,500,0,0,0,0.027,SUCCESS
siesta_og,null,500,0,0,0,0.034,SUCCESS
siesta_og,null,500,0,0,0,0.023,SUCCESS
siesta_og,null,500,0,0,0,0.044,SUCCESS
