Project,Class Path,Tests Run,Failures,Errors,Skipped,Time Elapsed (sec),Status
--------------------Execution: 1 -----------------------------------
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,71.79,SUCCESS
javamop_pignlproc,null,2,0,2,0,4.604,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,4.507,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,0.085,ERROR
javamop_pignlproc,null,2,0,1,0,21.48,FAILURE
javamop_pignlproc,pignlproc.storage.TestWikipediaLoader,N/A,N/A,1,N/A,0.031,ERROR
javamop_pignlproc,null,2,0,2,0,0.09,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.056,ERROR
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.031,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,12.58,SUCCESS
javamop_pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,1.047,SUCCESS
javamop_pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,1.356,SUCCESS
javamop_pignlproc,pignlproc.RegressionTest,5826,0,0,0,24.69,SUCCESS
Sum: 137.637
--------------------Execution: 2 -----------------------------------
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,61.83,SUCCESS
javamop_pignlproc,null,2,0,2,0,4.27,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,4.224,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,0.043,ERROR
javamop_pignlproc,null,2,0,1,0,20.02,FAILURE
javamop_pignlproc,pignlproc.storage.TestWikipediaLoader,N/A,N/A,1,N/A,0.024,ERROR
javamop_pignlproc,null,2,0,2,0,0.08,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.049,ERROR
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.030,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,12.48,SUCCESS
javamop_pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,0.675,SUCCESS
javamop_pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,1.166,SUCCESS
javamop_pignlproc,pignlproc.RegressionTest,5826,0,0,0,19.59,SUCCESS
Sum: 120.11099999999999
--------------------Execution: 3 -----------------------------------
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,72.58,SUCCESS
javamop_pignlproc,null,2,0,2,0,4.433,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,4.383,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,0.044,ERROR
javamop_pignlproc,null,2,0,1,0,21.25,FAILURE
javamop_pignlproc,pignlproc.storage.TestWikipediaLoader,N/A,N/A,1,N/A,0.050,ERROR
javamop_pignlproc,null,2,0,2,0,0.238,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.140,ERROR
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.098,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,12.73,SUCCESS
javamop_pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,0.853,SUCCESS
javamop_pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,1.351,SUCCESS
javamop_pignlproc,pignlproc.RegressionTest,5826,0,0,0,21.92,SUCCESS
Sum: 135.35500000000002
--------------------Execution: 4 -----------------------------------
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,63.14,SUCCESS
javamop_pignlproc,null,2,0,2,0,4.292,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,4.239,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,0.040,ERROR
javamop_pignlproc,null,2,0,1,0,20.15,FAILURE
javamop_pignlproc,pignlproc.storage.TestWikipediaLoader,N/A,N/A,1,N/A,0.025,ERROR
javamop_pignlproc,null,2,0,2,0,0.091,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.057,ERROR
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.032,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,12.36,SUCCESS
javamop_pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,0.826,SUCCESS
javamop_pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,1.324,SUCCESS
javamop_pignlproc,pignlproc.RegressionTest,5826,0,0,0,20.75,SUCCESS
Sum: 122.93299999999998
--------------------Execution: 5 -----------------------------------
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,71.92,SUCCESS
javamop_pignlproc,null,2,0,2,0,4.447,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,4.394,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,0.046,ERROR
javamop_pignlproc,null,2,0,1,0,21.01,FAILURE
javamop_pignlproc,pignlproc.storage.TestWikipediaLoader,N/A,N/A,1,N/A,0.033,ERROR
javamop_pignlproc,null,2,0,2,0,0.131,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.083,ERROR
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesStorer,N/A,N/A,1,N/A,0.047,ERROR
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesLoader,2,0,0,0,12.91,SUCCESS
javamop_pignlproc,pignlproc.format.TestWikipediaParsing,2,0,0,0,1.166,SUCCESS
javamop_pignlproc,pignlproc.evaluation.TestEvalFunctions,7,0,0,0,1.651,SUCCESS
javamop_pignlproc,pignlproc.RegressionTest,5826,0,0,0,23.45,SUCCESS
Sum: 136.685
--------------------Execution: 6 -----------------------------------
javamop_pignlproc,pignlproc.storage.TestUriStringLiteralNTriplesLoader,2,0,0,0,89.02,SUCCESS
javamop_pignlproc,null,2,0,2,0,5.866,FAILURE
javamop_pignlproc,pignlproc.storage.TestUriUriNTriplesStorer,N/A,N/A,1,N/A,5.789,ERROR
