project,sample,javamop_raw,siesta_raw,base_raw
pignlproc,1,137637,79246,73474
MeQanTT,1,32595,51817,11254
kornakapi,1,31350,25167,6855
jsoup-learning,1,23775,31518,1830
pignlproc,2,120111,85937,78492
MeQanTT,2,31195,50849,15815
kornakapi,2,28774,18320,8598
jsoup-learning,2,23396,58794,2076
pignlproc,3,135355,80758,76680
MeQanTT,3,23715,51150,17599
kornakapi,3,29098,14631,8816
jsoup-learning,3,24483,56394,2530
pignlproc,4,122933,83586,69060
MeQanTT,4,28326,51944,17294
kornakapi,4,30624,15169,7514
jsoup-learning,4,22763,58549,2326
pignlproc,5,136685,81777,69252
MeQanTT,5,29395,51666,23303
kornakapi,5,29535,16310,8257
jsoup-learning,5,23902,55339,1881
pignlproc,6,170094,80103,70770
MeQanTT,6,29716,50757,23007
kornakapi,6,30799,16315,8201
jsoup-learning,6,23880,55984,2038
pignlproc,7,166861,85049,69857
MeQanTT,7,27866,43446,25837
kornakapi,7,29920,17916,9237
jsoup-learning,7,24368,54781,4515
pignlproc,8,119718,87857,68866
MeQanTT,8,29455,43283,24097
kornakapi,8,28841,18557,8696
jsoup-learning,8,23539,50369,2905
pignlproc,9,131094,90329,69822
MeQanTT,9,27384,42980,25572
kornakapi,9,31229,18046,9145
jsoup-learning,9,24125,54678,3003
pignlproc,10,136661,76.94,69442
MeQanTT,10,29505,45616,21037
kornakapi,10,31620,17854,13941
jsoup-learning,10,24747,53319,3324
pignlproc,OAutho2.0ProviderForJava,MOP,,Defafault
MeQanTT,lucene-interval-fields,MOP,,Defafault
kornakapi,jsondiff,MOP,,Defafault
jsoup-learning,Joda-time,MOP,,Defafault
OAutho2.0ProviderForJava,1,13768,5321,595
lucene-interval-fields,1,17480,6381,1195
jsondiff,1,25416,10170,3400
Joda-time,1,22550,18237,3100
OAutho2.0ProviderForJava,2,13614,6496,1709
lucene-interval-fields,2,14831,6428,1852
jsondiff,2,27660,10656,6245
Joda-time,2,24437,17719,5070
OAutho2.0ProviderForJava,3,13731,5476,1488
lucene-interval-fields,3,14793,3233,2268
jsondiff,3,27691,9307,3534
Joda-time,3,15969,23758,5571
OAutho2.0ProviderForJava,4,13425,5005,1861
lucene-interval-fields,4,15450,6750,2090
jsondiff,4,29966,9251,4789
Joda-time,4,16105,17775,5438
OAutho2.0ProviderForJava,5,11967,5278,1680
lucene-interval-fields,5,16624,6815,3512
jsondiff,5,27702,10776,5079
Joda-time,5,16321,17732,10873
OAutho2.0ProviderForJava,6,11981,5905,2232
lucene-interval-fields,6,15219,7054,2362
jsondiff,6,28622,10791,5128
Joda-time,6,13837,17831,6162
OAutho2.0ProviderForJava,7,12613,5323,1346
lucene-interval-fields,7,16530,7280,2668
jsondiff,7,28071,11007,5031
Joda-time,7,13790,18044,9490
OAutho2.0ProviderForJava,8,13901,6917,1356
lucene-interval-fields,8,17079,8038,2116
jsondiff,8,24432,10974,4938
Joda-time,8,14065,18846,4808
OAutho2.0ProviderForJava,9,11400,5324,1597
lucene-interval-fields,9,17143,10026,2332
jsondiff,9,27502,11416,5068
Joda-time,9,14424,18055,4800
OAutho2.0ProviderForJava,10,11772,4786,1418
lucene-interval-fields,10,20040,10213,4411
jsondiff,10,28939,9809,5202
Joda-time,10,15602,18493,5019
OAutho2.0ProviderForJava,jnr-posix,MOP,,Defafault
lucene-interval-fields,jboss-dmr,MOP,,Defafault
jsondiff,greplin-zookeeper-utils,MOP,,Defafault
Joda-time,Gora,MOP,,Defafault
jnr-posix,1,765741,138311,15176
jboss-dmr,1,172359,135532,65419
greplin-zookeeper-utils,1,73931,56070,27468
Gora,1,551056,12923,1108
jnr-posix,2,721083,130904,25093
jboss-dmr,2,165755,145872,53496
greplin-zookeeper-utils,2,74357,47653,25905
Gora,2,819406,14062,1895
jnr-posix,3,598604,162328,20403
jboss-dmr,3,165787,147331,47401
greplin-zookeeper-utils,3,76079,43700,25152
Gora,3,665436,29546,1513
jnr-posix,4,567779,193747,23292
jboss-dmr,4,166157,155983,44011
greplin-zookeeper-utils,4,74606,48952,26634
Gora,4,680101,41750,1463
jnr-posix,5,481957,180025,21095
jboss-dmr,5,166574,146213,45030
greplin-zookeeper-utils,5,72463,46438,28332
Gora,5,667882,53588,1555
jnr-posix,6,448560,133968,24482
jboss-dmr,6,166368,139855,46945
greplin-zookeeper-utils,6,72472,54850,27279
Gora,6,675436,60392,1668
jnr-posix,7,480906,139542,21668
jboss-dmr,7,166362,160087,48606
greplin-zookeeper-utils,7,73011,49352,28050
Gora,7,684169,64020,1793
jnr-posix,8,475525,142356,22356
jboss-dmr,8,166075,144698,46220
greplin-zookeeper-utils,8,72932,50670,24678
Gora,8,712411,58382,1003
jnr-posix,9,839260,142289,25963
jboss-dmr,9,166130,145265,43996
greplin-zookeeper-utils,9,73523,45660,25886
Gora,9,656350,80930,1093
jnr-posix,10,625794,132856,24581
jboss-dmr,10,176223,140751,40903
greplin-zookeeper-utils,10,75761,48560,26310
Gora,10,747042,85910,1165
jnr-posix,gae-java-mini-profiler,MOP,,Defafault
jboss-dmr,creadur-rat,MOP,,Defafault
greplin-zookeeper-utils,crawler,MOP,,Defafault
Gora,connector4java,MOP,,Defafault
gae-java-mini-profiler,1,9601,63260,1305
creadur-rat,1,74592,69960,46515
crawler,1,25976,11556,8884
connector4java,1,91157,71767,12870
gae-java-mini-profiler,2,95827,61981,1903
creadur-rat,2,95907,76956,45792
crawler,2,92357,11365,10243
connector4java,2,87246,75217,11459
gae-java-mini-profiler,3,97027,54856,2510
creadur-rat,3,96926,78355,45592
crawler,3,99768,12713,9698
connector4java,3,96176,75907,5667
gae-java-mini-profiler,4,92187,59449,2424
creadur-rat,4,78765,78355,45300
crawler,4,23741,11535,8406
connector4java,4,92457,72457,5815
gae-java-mini-profiler,5,9995,"43,.513",2466
creadur-rat,5,76308,75557,44887
crawler,5,24621,11541,9378
connector4java,5,89696,69696,5830
gae-java-mini-profiler,6,10178,44920,2516
creadur-rat,6,84820,76256,50153
crawler,6,22125,11745,9208
connector4java,6,94527,74527,6299
